Date,Site,Fraction,Acquisition Time,QC Status,"P Oshift 31/47
Oxygen DRC
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
8/30/2021,1,F,06/09/2023 09:41:25,Passed,15.31216758,73037.21219,8.024527592,1.91037317,11.53550756,10.22108083,0.090055079,33.98443951,0.011699288,0.208756171
8/30/2021,6,F,06/09/2023 10:05:38,Passed,1.576678846,76998.61376,12.91999559,6.031224611,6.954831532,10.69637897,0.18736339,19.34375447,0.042200064,0.272593852
8/30/2021,8,F,06/09/2023 10:11:26,Failed,4.953447762,74004.75094,13.8152721,6.73836327,3.407672579,12.51694012,0.181840565,17.1718418,0.035445467,0.226092182
8/30/2021,9,F,06/09/2023 14:19:27,Passed,6.95760079,60839.91933,8.144214453,5.377116528,1.718620972,8.703521242,0.168972542,10.43691688,0.024422943,0.184028184
8/30/2021,10,F,06/09/2023 14:25:14,Passed,11.42021169,71515.89225,7.819625194,4.269336327,4.530541777,9.322003114,0.18905586,6.684394538,0.021931059,0.212990325
8/30/2021,11,F,06/09/2023 14:31:03,Passed,7.576115212,68755.30423,6.677332854,4.274689787,2.859587681,9.437239705,0.233234664,6.458959091,0.018956366,0.194498521
9/13/2021,1,F,06/09/2023 17:44:56,Passed,15.83656734,69630.4837,9.249216884,1.799609954,3.196663289,8.113899177,0.095256817,32.18976717,0.019736969,0.232580629
9/13/2021,6,F,06/09/2023 17:50:44,Passed,2.927397911,72975.50115,8.772336177,5.011639684,5.402599232,8.341733364,0.198902713,12.14838345,0.032363204,0.290535209
9/13/2021,8,F,06/09/2023 17:56:32,Passed,5.483001651,69556.24612,10.54740289,5.418386028,4.094241316,9.08493188,0.163419365,10.34179878,0.026780928,0.389066723
9/13/2021,9,F,06/09/2023 18:02:20,Passed,4.788141576,62535.57964,11.03742623,4.575323322,10.42049874,7.471094932,0.183685148,7.596667437,0.017677041,0.237046585
9/13/2021,10,F,06/09/2023 18:08:08,Passed,6.725017165,67910.19614,7.636057572,3.816777299,3.636720344,8.645061193,0.167902489,5.175559142,0.019602128,0.239998827
9/13/2021,11,F,06/09/2023 18:13:56,Passed,4.753559437,67658.386,8.774118904,4.563000747,7.677986618,8.438926548,0.16824027,4.868387181,0.022328184,0.223605617
10/1/2021,1,F,06/16/2023 19:37:27,Passed,6.071,37692.424,11.489,0.900,14.784,2.941,0.027,17.074,0.011,0.057
10/1/2021,6,F,06/16/2023 19:49:26,Passed,2.146,39223.397,7.302,2.191,5.244,3.560,0.059,8.080,0.015,0.097
10/1/2021,8,F,06/16/2023 20:01:27,Passed,2.179,38184.190,8.518,2.432,5.689,4.099,0.084,7.188,0.009,0.205
10/1/2021,9,F,06/16/2023 20:07:27,Passed,2.814,33829.370,5.888,2.218,6.959,3.170,0.069,4.965,0.011,0.544
10/1/2021,10,F,06/16/2023 20:19:27,Passed,3.731,35354.584,5.449,1.687,7.675,3.695,0.092,3.054,0.008,
10/1/2021,11,F,06/16/2023 20:25:27,Passed,2.791,35337.431,6.868,1.676,7.273,3.847,0.078,2.918,0.009,0.105
10/15/2021,1,F,06/17/2023 02:00:09,Failed,6.414,45317.190,12.227,0.838,1.252,2.819,0.047,21.339,0.009,3.103
10/15/2021,1,F,06/17/2023 02:06:28,Failed,6.302,45525.228,12.462,0.844,1.288,2.824,0.048,21.236,0.010,3.497
10/15/2021,1,F,06/17/2023 02:12:28,Failed,5.115,42640.337,11.610,0.780,1.254,2.730,0.051,20.320,0.011,0.054
10/15/2021,1,F,06/17/2023 02:18:46,Failed,5.172,43277.590,11.642,0.771,1.236,2.705,0.039,20.110,0.009,0.050
10/15/2021,6,F,06/17/2023 02:24:45,Failed,2.327,41752.868,18.779,2.128,4.978,2.892,0.100,11.431,0.015,0.079
10/15/2021,6,F,06/17/2023 02:31:03,Failed,2.327,41845.466,18.656,2.083,5.089,2.964,0.068,11.422,0.016,0.093
