,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.
13,7/19/2021,6,W,22.51011767,65259.94257,119.2869665,12.02201615,5.700120637,12.62339894,0.35847275,8.227165703,0.039496656,0.888477092,7/19/2021,6,F,4.901166399,60771.48133,11.2077643,6.302946028,5.898303439,12.0861038,0.21122609,8.154172832,0.02684227,0.153346449,7/19/2021,6,UF,8.059181772,62674.74116,1.073960757,2.858475392,3.147981556,11.02654238,0.200869479,7.479190498,0.024768735,0.035029843
16,8/2/2021,6,W,14.58870158,76458.18136,157.6809961,15.26767875,10.19223691,13.93709752,0.248619783,7.393256606,0.075747537,1.324702213,8/2/2021,6,F,4.01780379,75944.1939,20.77378254,8.255989918,7.066552601,12.03338827,0.200093789,7.43468161,0.039818325,0.192807557,8/2/2021,6,UF,6.384603835,70691.31803,0.998792364,4.415477038,4.623640181,12.39680685,0.239146608,6.978384416,0.036858811,0.068899517
15,8/16/2021,6,W,17.6433247,81819.56108,113.0123136,12.10165099,5.930658574,13.81730553,0.190738129,21.84308364,0.049999307,1.048513593,8/16/2021,6,F,22.8482081,77669.14157,16.04782931,7.056787763,10.93380775,13.22476649,0.198228879,22.28331083,0.033093226,1.508762478,8/16/2021,6,UF,26.51571377,75134.91984,-0.017191939,3.39182245,4.331936254,12.18524145,0.217214907,19.98145253,0.030997567,0.226445993
17,8/30/2021,6,W,19.78009897,75217.42534,91.20089132,9.572199707,5.572672267,11.05384543,0.175990391,18.42086059,0.043235153,0.889636053,8/30/2021,6,F,1.576678846,76998.61376,12.91999559,6.031224611,6.954831532,10.69637897,0.18736339,19.34375447,0.042200064,0.272593852,8/30/2021,6,UF,30.95286344,68818.80776,0.447604109,3.32076437,2.787158553,10.01202011,0.2126417,15.78298033,0.030035377,0.176086489
18,9/13/2021,6,W,12.43470865,62685.01897,78.54575881,8.332776135,4.961874447,8.888154701,0.180539901,11.73194323,0.060500603,0.632566817,9/13/2021,6,F,2.927397911,72975.50115,8.772336177,5.011639684,5.402599232,8.341733364,0.198902713,12.14838345,0.032363204,0.290535209,9/13/2021,6,UF,3.434652769,50282.55358,0.178932129,2.701830484,2.79495302,6.058677735,0.113445613,8.90967141,0.024812196,0.100226506
10,10/1/2021,6,W,8.957,38167.89,46.977,4.198,3.248,3.926,0.069,7.938,0.029,0.395,10/1/2021,6,F,2.146,39223.397,7.302,2.191,5.244,3.56,0.059,8.08,0.015,0.097,10/1/2021,6,UF,3.119,40248.931,0.281,1.549,4.414,3.538,0.08,8.138,0.012,0.055
11,10/15/2021,6,W,10.168,40455.948,85.805,5.731,3.664,3.502,0.05,11.508,0.041,0.616,10/15/2021,6,F,3.219666667,41003.35633,14.8255,2.087833333,4.975,2.8975,0.081666667,11.3755,0.017,0.096166667,10/15/2021,6,UF,2.8515,40010.0765,1.7265,1.3175,3.841,2.668,0.072,10.785,0.016,0.046
20,6/21/2021,8,W,49.94399893,59098.23099,131.1604015,13.90725639,5.572453166,12.84995732,0.07877133,11.62174987,0.060416937,1.26508994,6/21/2021,8,F,42.86437718,58857.9547,54.74268838,9.318526537,3.573112979,12.04164992,0.142143197,12.07525661,0.037943215,0.304594294,6/21/2021,8,UF,38.31534624,56078.16017,0.893056537,8.278153016,2.753237896,11.07861273,0.128457399,11.2267707,0.032270945,0.162391533
22,7/6/2021,8,W,44.82531688,57610.59772,81.95952311,8.203083986,3.558029062,13.82917128,0.262250197,9.677036408,0.040530652,0.490457816,7/6/2021,8,F,40.5106244,62357.0598,17.68076121,7.654107118,4.581795241,13.98956991,0.17660402,10.58698144,0.043122918,0.705110209,7/6/2021,8,UF,21.99290963,64542.17769,13.59567699,3.929879599,2.688013804,13.4973102,0.146304189,10.08598024,0.036993308,0.136291653
21,7/19/2021,8,W,30.89812173,64011.09254,79.38316671,8.139114273,3.872021589,12.76774847,0.27259504,7.809188174,0.030104278,0.297722884,7/19/2021,8,F,13.61591538,63735.54242,14.79318473,6.822151703,3.614477237,11.93670384,0.179832272,8.098811915,0.03852041,0.227635514,7/19/2021,8,UF,14.8847409,58167.69772,2.290534831,2.773362369,2.219125835,11.16491357,0.183302009,7.50269646,0.026214843,0.052725595
24,8/2/2021,8,W,29.10753506,70946.97219,111.1322334,13.37836155,5.838359796,15.49780331,0.311428925,6.450318755,0.049592992,0.761784069,8/2/2021,8,F,17.50289363,72763.40926,12.40771175,8.541879544,4.475351082,14.1028654,0.194568549,6.484097779,0.023792602,0.206339493,8/2/2021,8,UF,18.50330552,65801.51352,2.277332615,4.296547236,1.892685117,13.81803672,0.254583381,5.763170496,0.026500712,0.085148959
23,8/16/2021,8,W,32.65095725,68175.88978,113.2637791,11.20779395,5.847300511,13.57569011,0.242272952,17.01734197,0.051950574,0.837690943,8/16/2021,8,F,35.70588351,79118.9539,14.19281659,7.87159861,4.563072326,13.21725147,0.212948178,17.29665337,0.033131707,0.314893102,8/16/2021,8,UF,36.34778047,71782.54482,0.49338685,3.765338548,2.580406936,12.08750693,0.167550941,15.92229097,0.024794747,0.101165397
25,8/30/2021,8,W,34.50934099,73233.77156,76.79010255,9.604254888,3.71192939,11.85782984,0.174289811,16.10332136,0.039907128,0.680850294,8/30/2021,8,F,4.953447762,74004.75094,13.8152721,6.73836327,3.407672579,12.51694012,0.181840565,17.1718418,0.035445467,0.226092182,8/30/2021,8,UF,34.12074125,65901.15293,-0.255330983,3.691571936,1.720718505,10.15058704,0.158904198,14.00496591,0.030558249,0.120869948
26,9/13/2021,8,W,16.86006958,65323.85643,96.94885633,8.456481407,3.34357127,9.185702247,0.2474614,11.84709392,0.052019827,0.510394371,9/13/2021,8,F,5.483001651,69556.24612,10.54740289,5.418386028,4.094241316,9.08493188,0.163419365,10.34179878,0.026780928,0.389066723,9/13/2021,8,UF,4.152425755,49172.6042,0.031300909,2.387899073,1.458427955,6.710325431,0.127357681,7.466007063,0.017109357,0.083205889
19,10/1/2021,8,W,9.903,36865.021,25.616,4.124,2.577,4.283,0.033,7.252,0.015,0.164,10/1/2021,8,F,2.179,38184.19,8.518,2.432,5.689,4.099,0.084,7.188,0.009,0.205,10/1/2021,8,UF,4.573,37895.78,0.886,1.368,4.395,3.983,0.074,6.998,0.011,0.052
,10/15/2021,8,W,9.544,39317.607,41.043,3.601,1.378,3.642,0.035,10.295,0.015,0.273,10/15/2021,8,F,,,,,,,,,,,10/15/2021,8,UF,2.7195,40405.7985,1.181,1.2395,3.058,3.22725,0.0815,9.995,0.0105,0.04425
29,6/21/2021,9,W,52.77232571,52640.61374,156.638577,12.37242524,4.909694779,9.938812509,0.057606076,6.705153618,0.044574112,1.030440871,6/21/2021,9,F,46.57525714,54882.01793,23.42879731,20.48184351,8.226902983,8.872760222,0.145710188,6.751938948,0.026404921,0.302618789,6/21/2021,9,UF,45.17464808,47860.89366,0.641500704,4.649268471,1.716684255,7.991082317,0.096693384,6.277172244,0.021627081,0.167812833
31,7/6/2021,9,W,46.80774356,49046.23454,98.73681116,7.844952931,3.888996397,10.7641016,0.188884307,6.582393289,0.042804967,0.452416619,7/6/2021,9,F,40.91258426,60380.45919,14.73750256,6.417527664,3.042349894,10.92391646,0.136347435,6.995522032,0.033004134,1.193324403,7/6/2021,9,UF,23.98911113,57561.88975,0.901156391,2.952356151,1.664227135,10.19000559,0.139455209,6.414796979,0.025913214,0.388403721
30,7/19/2021,9,W,28.77068077,49754.12334,88.63942512,6.204399201,3.764060081,9.222424267,0.171008602,4.929314134,0.042042485,0.295942531,7/19/2021,9,F,14.23450459,51825.81253,9.941487267,4.850896727,4.312127844,8.821061321,0.19141301,4.909255145,0.02002025,0.118228474,7/19/2021,9,UF,15.48572838,46547.8567,0.480671828,1.949416209,1.335599783,7.768786615,0.136027027,4.466701973,0.01616098,0.02771687
33,8/2/2021,9,W,25.19233937,62324.82006,80.44380587,8.850362132,3.025909699,10.70069318,0.159785945,4.373409018,0.041505311,0.44927992,8/2/2021,9,F,13.97872794,63002.44248,10.77062207,6.441907806,3.032083549,10.68032847,0.173353518,4.531091355,0.024650501,0.450977632,8/2/2021,9,UF,14.79225418,56660.12246,0.277363803,2.99634338,1.55468088,9.721559083,0.17067018,3.985068849,0.020549307,0.095355525
32,8/16/2021,9,W,23.26100282,68024.7044,138.3586796,10.8266978,4.784379229,10.85797458,0.21611192,13.61586049,0.055378608,0.723358819,8/16/2021,9,F,37.54254875,67807.33534,12.91718481,6.059421132,2.788999233,10.4415893,0.195882517,11.75492447,0.017124317,0.219380917,8/16/2021,9,UF,36.22341502,63519.75024,-0.172445199,2.782137937,1.205649936,9.576340401,0.138896973,10.41337887,0.013785912,0.056156678
34,8/30/2021,9,W,30.37911792,70502.74413,156.5055151,10.27305521,6.16750627,9.88032885,0.274478884,11.60656063,0.034248047,0.948379131,8/30/2021,9,F,6.95760079,60839.91933,8.144214453,5.377116528,1.718620972,8.703521242,0.168972542,10.43691688,0.024422943,0.184028184,8/30/2021,9,UF,31.34709611,59504.3127,-0.343714712,3.341088091,6.41316362,8.296948729,0.14691983,9.686871732,0.021602568,0.128019242
35,9/13/2021,9,W,12.6370053,59257.72295,45.94588707,5.849756032,0.801904174,7.998474519,0.270525865,7.687474367,0.03168534,0.338376291,9/13/2021,9,F,4.788141576,62535.57964,11.03742623,4.575323322,10.42049874,7.471094932,0.183685148,7.596667437,0.017677041,0.237046585,9/13/2021,9,UF,2.69,29543.549,0.196,1.479,0.738,3.875,0.063,3.758,0.007,0.051
27,10/1/2021,9,W,8.519,32048.21,26.703,2.802,0.932,3.305,0.028,4.96,0.022,0.16,10/1/2021,9,F,2.814,33829.37,5.888,2.218,6.959,3.17,0.069,4.965,0.011,0.544,10/1/2021,9,UF,5.486,34058.235,0.568,1.394,6.011,3.158,0.074,4.989,0.01,0.048
28,10/15/2021,9,W,9.147,34435.3955,45.429,3.14,1.304,2.964,0.026,7.158,0.0195,0.278,10/15/2021,9,F,2.7055,36351.367,7.938,2.419,4.077,2.753,0.057,7.357,0.014,0.091,10/15/2021,9,UF,6.4455,35742.321,0.502,1.0855,2.8545,2.614,0.0565,7.038,0.0105,0.03
