,Group.1,Group.2,Group.3,...1,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
79,9/22/2021,GR,FILA,407,9/22/2021,NA,64.82,3.333333333,4.17047156,10.94811354,NA,21.27413616,0.017939674,44.16233566,0.00062869,0.126657243,5.159371532,0.001475244,1.641914965,0.03224579,0.001241935,0.196372962,0.076370576,202.4855363,0.002599547,0.403282418,15.3820268,0.007333457,8.622040245,0.040208082,0.005570917,0.669532086,9.185702247,69556.24612,0.052019827,8.456481407,96.94885633,11.84709392,16.86006958,0.510394371,0.2474614,4.094241316,9.08493188,69556.24612,0.026780928,5.418386028,10.54740289,10.34179878,5.483001651,0.389066723,0.163419365,4.094241316,6.710325431,49172.6042,0.017109357,2.387899073,0.031300909,7.466007063,4.152425755,0.083205889,0.127357681,1.458427955
22,7/20/2021,GC,EPIL,86,7/20/2021,NA,89.22,3,13.52510275,51.38276329,45.56589346,62.41931592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.222424267,51825.81253,0.042042485,6.204399201,88.63942512,4.929314134,30.02190456,0.295942531,0.19141301,4.312127844,8.821061321,51825.81253,0.02002025,4.850896727,9.941487267,4.909255145,15.48572838,0.118228474,0.19141301,4.312127844,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
50,7/20/2021,GC,EPIP,259,7/20/2021,NA,89.22,4,2.965826186,12.25848842,5.289771198,7.576210221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.222424267,51825.81253,0.042042485,6.204399201,88.63942512,4.929314134,30.02190456,0.295942531,0.19141301,4.312127844,8.821061321,51825.81253,0.02002025,4.850896727,9.941487267,4.909255145,15.48572838,0.118228474,0.19141301,4.312127844,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
73,7/20/2021,GC,FILA,352,7/20/2021,NA,89.22,4,60.58631488,434.1376348,NA,226.1895811,0.012175794,14.64217011,0.000493029,0.105682288,6.879808458,0.000511143,0.593558223,0.017150165,0.00026168,0.168337113,0.717946604,849.4432073,0.029121181,6.298396156,440.4443709,0.027379205,33.73128275,0.899673969,0.011116688,9.970619303,9.222424267,51825.81253,0.042042485,6.204399201,88.63942512,4.929314134,30.02190456,0.295942531,0.19141301,4.312127844,8.821061321,51825.81253,0.02002025,4.850896727,9.941487267,4.909255145,15.48572838,0.118228474,0.19141301,4.312127844,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
4,8/3/2021,BG,EPIL,113.4,8/3/2021,NA,144.32,3,6.591850737,33.32427245,9.955050866,19.2603775,0.008725032,99.48542386,0.002651075,0.318865983,12.19133507,0.001926194,1.194355626,0.051000295,0.003513812,12.31639707,0.047850131,649.9816493,0.016990375,2.076904549,80.07988633,0.013536841,8.137763103,0.334645661,0.023514144,95.78159663,12.48456664,84077.88801,0.069016283,10.69956138,205.9308182,4.413733828,36.61685059,1.36011675,0.298836958,10.80841013,12.07509511,84077.88801,0.019689988,5.034224761,8.803591255,4.413733828,21.01052613,0.292200698,0.225844386,4.889954687,11.36566092,80828.99095,0.016145485,2.680097726,0.415757602,4.114875393,21.01052613,0.130812572,0.225844386,1.939694899
42,8/3/2021,BG,EPIP,271,8/3/2021,NA,144.32,2.666666667,0.743600047,1.859779574,1.280375615,3.766886411,0.007583639,57.45076488,0.001751957,0.319643343,13.59292682,0.001834434,1.135486854,0.051062181,0.003294716,16.30450689,0.005810303,43.18060922,0.001295689,0.241345993,10.23382521,0.00134073,0.860020515,0.038746676,0.002497633,12.27668284,12.48456664,84077.88801,0.069016283,10.69956138,205.9308182,4.413733828,36.61685059,1.36011675,0.298836958,10.80841013,12.07509511,84077.88801,0.019689988,5.034224761,8.803591255,4.413733828,21.01052613,0.292200698,0.225844386,4.889954687,11.36566092,80828.99095,0.016145485,2.680097726,0.415757602,4.114875393,21.01052613,0.130812572,0.225844386,1.939694899
62,8/3/2021,BG,FILA,367,8/3/2021,NA,144.32,2.333333333,9.24862764,13.73888604,NA,28.20075804,0.014487027,64.58192084,0.001360188,0.164871743,7.038841493,0.001061241,1.245950737,0.022133468,0.003855065,0.313852251,0.137114349,562.7169424,0.012676391,1.520725949,65.05752725,0.009348998,11.57144218,0.209900601,0.03452555,2.910297758,12.48456664,84077.88801,0.069016283,10.69956138,205.9308182,4.413733828,36.61685059,1.36011675,0.298836958,10.80841013,12.07509511,84077.88801,0.019689988,5.034224761,8.803591255,4.413733828,21.01052613,0.292200698,0.225844386,4.889954687,11.36566092,80828.99095,0.016145485,2.680097726,0.415757602,4.114875393,21.01052613,0.130812572,0.225844386,1.939694899
11,9/22/2021,BN,EPIL,188,9/22/2021,NA,167.82,3,42.51381279,112.5193144,25.85873843,61.71432638,0.004145866,164.2459353,0.001732282,0.222543542,9.779237049,0.001898154,0.906759124,0.036244017,0.002755873,6.683950198,0.109025675,5792.035934,0.061721189,7.864861433,347.490195,0.067068978,31.6523476,1.293855543,0.08180507,250.6303564,8.706937303,67658.386,0.057102594,8.310045117,183.340854,4.868387181,20.88045141,0.918614664,0.254006092,8.111714825,8.438926548,67658.386,0.022328184,4.563000747,8.774118904,4.868387181,4.753559437,0.223605617,0.16824027,7.677986618,4.165,33979.686,0.008,1.444,0.82,2.298,3.575,0.066,0.074,1.156
69,9/22/2021,BN,FILA,412,9/22/2021,NA,167.82,3,7.456381645,57.24808182,NA,35.03287617,0.006775501,86.15733704,0.001094238,0.120391372,5.964710504,0.0012841,0.615171034,0.019149403,0.002154612,0.328380263,0.045666282,684.3540143,0.0088316,0.907179529,43.87242961,0.010140359,4.781814693,0.14591714,0.016355594,2.451984441,8.706937303,67658.386,0.057102594,8.310045117,183.340854,4.868387181,20.88045141,0.918614664,0.254006092,8.111714825,8.438926548,67658.386,0.022328184,4.563000747,8.774118904,4.868387181,4.753559437,0.223605617,0.16824027,7.677986618,4.165,33979.686,0.008,1.444,0.82,2.298,3.575,0.066,0.074,1.156
18,9/22/2021,DL,EPIL,173,9/22/2021,NA,44.9,3,11.93992517,69.47890181,19.31094248,42.40123976,0.021423901,119.7738804,0.002196326,0.401002986,11.04387146,0.002066209,0.801799262,0.054192698,0.003090265,9.73854739,0.274045743,1408.242727,0.026801785,4.665908157,128.8285371,0.024673911,9.31137268,0.626150878,0.037291138,98.09498761,8.888154701,72975.50115,0.060500603,8.332776135,78.54575881,12.14838345,12.94196351,0.632566817,0.198902713,5.402599232,8.341733364,72975.50115,0.032363204,5.011639684,8.772336177,12.14838345,3.434652769,0.290535209,0.198902713,5.402599232,6.058677735,50282.55358,0.024812196,2.701830484,0.178932129,8.90967141,3.434652769,0.100226506,0.113445613,2.79495302
