,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
34,7/7/2021,WS,0,4,EPIL,7.810138865,20.67114598,11.57022967,20.91371767,0.052491103,47.29537367,0.002710854,0.373042705,12.03736655,0.005039146,2.002669039,0.041014235,0.005794076,30.27580071,0.409962805,369.383436,0.021172147,2.913515326,94.01350431,0.039356429,15.6411233,0.32032687,0.045252539,236.4582078,0.19351096,0,0.00780981,0.656950957,61.38175,0,27.27793085,0.041529681,0.105648834,0,0,0,0,0,14.9954317,0,0,0.0547217,0.027324543,0,10.82049966,69916.86871,0.019654866,7.714183547,1.147265885,25.44492333,56.08866996,0.048172727,0.086415387,3.938742688
39,7/7/2021,WS,0,3,EPIL,0.675319792,7.0997436,2.020627903,1.607077168,0.086330935,116.9064748,0.003535971,0.511510791,15.39928058,0.010989209,1.722302158,0.061043165,0.023426408,154.1366906,0.058300989,78.94925626,0.002387911,0.345433361,10.39943896,0.00742123,1.163104735,0.041223658,0.015820317,104.0915579,0.19351096,0,0.00780981,0.656950957,61.38175,0,27.27793085,0.041529681,0.105648834,0,0,0,0,0,14.9954317,0,0,0.0547217,0.027324543,0,10.82049966,69916.86871,0.019654866,7.714183547,1.147265885,25.44492333,56.08866996,0.048172727,0.086415387,3.938742688
38,7/7/2021,WS,0,2,EPIL,9.952665732,39.54759687,10.04035442,21.48436485,0.071202532,75.53006329,0.003408228,0.484889241,14.05063291,0.005137658,1.783227848,0.053085443,0.005152327,31.76424051,0.708654997,751.7254727,0.033920953,4.825940528,139.8412527,0.051133395,17.7478707,0.52834167,0.05127939,316.138868,0.19351096,0,0.00780981,0.656950957,61.38175,0,27.27793085,0.041529681,0.105648834,0,0,0,0,0,14.9954317,0,0,0.0547217,0.027324543,0,10.82049966,69916.86871,0.019654866,7.714183547,1.147265885,25.44492333,56.08866996,0.048172727,0.086415387,3.938742688
33,7/7/2021,WS,0,1,EPIL,8.231044553,24.36576257,5.66819659,24.17137289,0.056838366,66.98046181,0.003029307,0.418028419,13.06394316,0.003761989,2.167850799,0.047468917,0.005783785,30,0.467839122,551.3191654,0.024934363,3.440810543,107.5298982,0.030965102,17.84367651,0.390718767,0.047606589,246.9313366,0.19351096,0,0.00780981,0.656950957,61.38175,0,27.27793085,0.041529681,0.105648834,0,0,0,0,0,14.9954317,0,0,0.0547217,0.027324543,0,10.82049966,69916.86871,0.019654866,7.714183547,1.147265885,25.44492333,56.08866996,0.048172727,0.086415387,3.938742688
68,7/20/2021,BG,144.32,5,EPIL,22.99197317,151.0583745,11.02392917,41.77178631,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
255,7/20/2021,BG,144.32,5,EPIP,42.23087063,336.783009,31.67315297,108.0073398,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
348,7/20/2021,BG,144.32,5,FILA,88.8752175,396.7514562,,184.432485,0.020007329,44.59508978,0.001575669,0.237119824,9.105899597,0.000769513,0.826310004,0.029937706,0.000806156,0.384389886,1.778155689,3963.398303,0.140037902,21.07407594,809.2888072,0.068390603,73.4384813,2.660720143,0.071647299,34.16273476,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
67,7/20/2021,BG,144.32,4,EPIL_F,15.06140851,86.47098133,13.46278533,39.10527393,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
254,7/20/2021,BG,144.32,4,EPIP,25.36190603,158.2067561,23.89037298,66.12591924,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
347,7/20/2021,BG,144.32,4,FILA,95.40011032,546.8192656,,344.8786899,0.020765173,40.59557989,0.001569073,0.259497897,9.471189157,0.00066769,0.793883955,0.029044535,0.000217418,0.384589704,1.98099982,3872.8228,0.149689697,24.75612798,903.5524904,0.063697743,75.73661693,2.770851839,0.02074171,36.68990021,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
66,7/20/2021,BG,144.32,3,EPIL_F,33.38951283,220.5364578,18.5426493,46.04761287,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
253,7/20/2021,BG,144.32,3,EPIP,42.79207821,301.912142,30.44551139,65.16901523,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
346,7/20/2021,BG,144.32,3,FILA,119.1886731,480.3264385,,538.7320545,0.020556151,41.23841352,0.001576392,0.231855729,8.919225676,0.000756668,0.835172457,0.027460748,0.000788196,0.374550728,2.450060371,4915.151788,0.187888065,27.63457664,1063.070673,0.090186271,99.54309699,3.273010097,0.093944033,44.64220431,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
65,7/20/2021,BG,144.32,2,EPIL_F,45.95120923,240.1126644,29.71243398,55.32434192,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
252,7/20/2021,BG,144.32,2,EPIP,51.98419075,333.4227786,23.54873786,51.83375233,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
345,7/20/2021,BG,144.32,2,FILA,112.824946,539.1071771,,260.1459502,0.023946869,40.49335863,0.001935484,0.295256167,9.821631879,0.000834915,0.919165085,0.034003795,0.000948767,0.412144213,2.70180421,4568.661001,0.218370863,33.3122611,1108.125086,0.094199196,103.7047511,3.836476342,0.107044541,46.50014852,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
89,7/20/2021,BG,144.32,1,EPIL_F,10.43846105,46.69247092,8.743614145,25.95416036,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
261,7/20/2021,BG,144.32,1,EPIP,15.22275569,76.4645332,20.95408814,47.33249239,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
354,7/20/2021,BG,144.32,1,FILA,101.1590089,259.5678597,,406.7581482,0.01717233,86.16504854,0.001699029,0.189623786,7.973300971,0.001395631,0.947208738,0.027184466,0.002730583,0.33756068,1.737135893,8716.370913,0.171872103,19.1821543,806.5712239,0.141180656,95.81869714,2.74995364,0.276223022,34.14730379,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
92,7/20/2021,BN,167.82,5,EPIL_F,16.43870546,104.0525626,26.38190081,43.1014691,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
264,7/20/2021,BN,167.82,5,EPIP,13.65137446,67.86402699,27.72996819,96.8914665,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
357,7/20/2021,BN,167.82,5,FILA,107.9437718,334.3320113,,332.232485,0.006441035,99.48471718,0.001171097,0.10697974,4.079517508,0.001405317,0.65054456,0.013467619,0.00240075,0.226607331,0.695269639,10738.75561,0.126412662,11.54779664,440.3585069,0.151695194,70.22223356,1.453745609,0.259145956,24.46085003,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
91,7/20/2021,BN,167.82,4,EPIL_F,14.77378963,66.19794198,13.8835741,51.07942397,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
263,7/20/2021,BN,167.82,4,EPIP,23.8700292,144.0339262,36.24582559,122.9525817,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
356,7/20/2021,BN,167.82,4,FILA,102.1936399,372.0203526,,320.5124018,0.007397877,90.43636754,0.001125764,0.10673314,4.994639219,0.001286587,0.595582717,0.014795754,0.002305136,0.244719631,0.756015992,9242.021578,0.115045912,10.90744811,510.4203618,0.131481042,60.8647657,1.512031983,0.2355702,25.00878987,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
90,7/20/2021,BN,167.82,3,EPIL_F,6.383736258,26.76258662,5.9008639,4.270580833,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
262,7/20/2021,BN,167.82,3,EPIP,6.510007964,27.49917157,35.07547395,53.31052481,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
355,7/20/2021,BN,167.82,3,FILA,215.7216195,1290.13901,,469.766864,0.018886494,46.48514387,0.001124754,0.188536883,8.646546068,0.00089043,0.631736808,0.027556472,0.001124754,0.393757616,4.074224982,10027.85052,0.242633746,40.67148164,1865.246921,0.192085049,136.2792872,5.944526772,0.242633746,84.94203051,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
64,7/20/2021,BN,167.82,2,EPIL,21.38142433,152.6858765,17.03761917,49.20864498,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
251,7/20/2021,BN,167.82,2,EPIP,23.81624681,151.9820286,18.90217291,49.12163093,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
344,7/20/2021,BN,167.82,2,FILA,12.88657694,55.2545398,,64.05811277,0.008779517,64.44079232,0.000951475,0.101332065,5.388807197,0.001081221,0.592941787,0.014012629,0.00151371,0.230862382,0.113137926,830.4212283,0.012261253,1.305823448,69.44327855,0.013933242,7.64098996,0.180574817,0.019506539,2.97502585,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
69,7/20/2021,BN,167.82,1,EPIL_F,13.39883105,61.59253225,11.09787996,40.40640091,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
256,7/20/2021,BN,167.82,1,EPIP,15.62612364,104.4828218,17.52054999,58.97542985,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
349,7/20/2021,BN,167.82,1,FILA,87.91411786,450.4120164,,400.3814433,0.009970793,83.74458656,0.001258938,0.149108672,5.911975023,0.001208581,0.692416155,0.019488367,0.002467519,0.299778427,0.876573438,7362.331453,0.110678464,13.10875733,519.7460689,0.106251326,60.87315543,1.713302629,0.21692979,26.35475595,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
78,7/20/2021,DL,44.9,5,EPIL,7.766879114,32.71664832,13.84206812,22.68818328,,,,,,,,,,,,,,,,,,,,,0.53729514,4488.46124,0.012654386,5.719070122,108.0792022,0.072992871,17.60895127,0.735130643,0.14724666,0,1.05956142,0,0.002073535,3.444470636,10.13380354,0.674982334,0,0.118316606,0.010356611,2.750321883,11.02654238,62674.74116,0.024768735,2.858475392,1.073960757,7.479190498,8.059181772,0.035029843,0.200869479,3.147981556
77,7/20/2021,DL,44.9,4,EPIL,5.598045642,26.61293127,11.11167631,11.70946672,,,,,,,,,,,,,,,,,,,,,0.53729514,4488.46124,0.012654386,5.719070122,108.0792022,0.072992871,17.60895127,0.735130643,0.14724666,0,1.05956142,0,0.002073535,3.444470636,10.13380354,0.674982334,0,0.118316606,0.010356611,2.750321883,11.02654238,62674.74116,0.024768735,2.858475392,1.073960757,7.479190498,8.059181772,0.035029843,0.200869479,3.147981556
76,7/20/2021,DL,44.9,3,EPIL,10.34901859,37.45534485,10.19801867,16.96227865,,,,,,,,,,,,,,,,,,,,,0.53729514,4488.46124,0.012654386,5.719070122,108.0792022,0.072992871,17.60895127,0.735130643,0.14724666,0,1.05956142,0,0.002073535,3.444470636,10.13380354,0.674982334,0,0.118316606,0.010356611,2.750321883,11.02654238,62674.74116,0.024768735,2.858475392,1.073960757,7.479190498,8.059181772,0.035029843,0.200869479,3.147981556
75,7/20/2021,DL,44.9,2,EPIL,2.739394515,9.530006271,8.295349588,12.80183491,,,,,,,,,,,,,,,,,,,,,0.53729514,4488.46124,0.012654386,5.719070122,108.0792022,0.072992871,17.60895127,0.735130643,0.14724666,0,1.05956142,0,0.002073535,3.444470636,10.13380354,0.674982334,0,0.118316606,0.010356611,2.750321883,11.02654238,62674.74116,0.024768735,2.858475392,1.073960757,7.479190498,8.059181772,0.035029843,0.200869479,3.147981556
74,7/20/2021,DL,44.9,1,EPIL,12.69264484,95.24861868,18.48500861,31.54534484,,,,,,,,,,,,,,,,,,,,,0.53729514,4488.46124,0.012654386,5.719070122,108.0792022,0.072992871,17.60895127,0.735130643,0.14724666,0,1.05956142,0,0.002073535,3.444470636,10.13380354,0.674982334,0,0.118316606,0.010356611,2.750321883,11.02654238,62674.74116,0.024768735,2.858475392,1.073960757,7.479190498,8.059181772,0.035029843,0.200869479,3.147981556
88,7/20/2021,GC,89.22,5,EPIL_F,8.184277254,29.79076921,31.73862719,34.72346584,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
260,7/20/2021,GC,89.22,5,EPIP,4.499014125,20.18476607,9.50872715,11.78535901,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
353,7/20/2021,GC,89.22,5,FILA,114.288766,658.9832747,,458.2429817,0.012610822,11.2223581,0.000484052,0.112962397,7.673494344,0.000382146,0.512585346,0.014241313,0.000165916,0.175175787,1.441275328,1282.589458,0.055321679,12.91033294,876.9941995,0.04367501,58.58274666,1.627622037,0.018962354,20.02062455,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
87,7/20/2021,GC,89.22,4,EPIL,7.9878546,13.26554425,36.75839519,31.13433861,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
259,7/20/2021,GC,89.22,4,EPIP,1.890568046,2.946339811,1.748161621,4.667908261,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
352,7/20/2021,GC,89.22,4,FILA,10.78574445,71.05440722,,23.90671549,0.014011995,12.81248341,0.000530757,0.121649594,6.331935672,0.000583833,0.637705005,0.022610265,0.000451144,0.191842259,0.151129799,138.1921719,0.005724614,1.312081433,68.29464003,0.006297075,6.878123219,0.243868539,0.004865922,2.069161579,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
86,7/20/2021,GC,89.22,3,EPIL,5.050868248,18.37019489,11.0295997,13.45971646,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
258,7/20/2021,GC,89.22,3,EPIP,2.507896387,13.64435937,4.612424824,6.275363391,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
351,7/20/2021,GC,89.22,3,FILA,56.68443419,572.3752224,,196.4190462,0.009904565,19.89166882,0.000464277,0.082434872,6.633995357,0.000567449,0.630384318,0.014598917,0.000167979,0.137993294,0.561434685,1127.547992,0.026317251,4.672774095,376.0442732,0.032165529,35.73297838,0.827531332,0.009521788,7.82207178,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
85,7/20/2021,GC,89.22,2,EPIL,10.59746986,31.2779693,91.87903482,97.89996057,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
84,7/20/2021,GC,89.22,1,EPIL,35.8050438,164.2093388,56.42381041,134.8790981,,,,,,,,,,,,,,,,,,,,,0.401362946,0,0.022022235,1.353502474,78.69793785,0.020058989,14.53617618,0.177714057,0,0,1.052274706,5277.95583,0.00385927,2.901480518,9.460815439,0.442553172,0,0.090511604,0.055385983,2.976528061,7.768786615,46547.8567,0.01616098,1.949416209,0.480671828,4.466701973,15.48572838,0.02771687,0.136027027,1.335599783
83,7/20/2021,GR,64.82,5,EPIL,14.45109527,65.45083438,38.98989684,69.31863636,,,,,,,,,,,,,,,,,,,,,0.83104463,275.55012,0,1.31696257,64.58998198,0,17.28220635,0.07008737,0.092762768,0.257544352,0.77179027,5567.8447,0.012305567,4.048789334,12.5026499,0.596115455,0,0.174909919,0,1.395351402,11.16491357,58167.69772,0.026214843,2.773362369,2.290534831,7.50269646,14.8847409,0.052725595,0.183302009,2.219125835
82,7/20/2021,GR,64.82,4,EPIL,7.934072207,37.34485711,17.7103083,47.10944198,,,,,,,,,,,,,,,,,,,,,0.83104463,275.55012,0,1.31696257,64.58998198,0,17.28220635,0.07008737,0.092762768,0.257544352,0.77179027,5567.8447,0.012305567,4.048789334,12.5026499,0.596115455,0,0.174909919,0,1.395351402,11.16491357,58167.69772,0.026214843,2.773362369,2.290534831,7.50269646,14.8847409,0.052725595,0.183302009,2.219125835
81,7/20/2021,GR,64.82,3,EPIL,28.80865593,164.5273565,51.42532154,86.72086836,,,,,,,,,,,,,,,,,,,,,0.83104463,275.55012,0,1.31696257,64.58998198,0,17.28220635,0.07008737,0.092762768,0.257544352,0.77179027,5567.8447,0.012305567,4.048789334,12.5026499,0.596115455,0,0.174909919,0,1.395351402,11.16491357,58167.69772,0.026214843,2.773362369,2.290534831,7.50269646,14.8847409,0.052725595,0.183302009,2.219125835
