,Group.1,Group.2,SS P,SS Ca,SS Fe,SS Cu,SS Zn,SS As,SS Se,SS Mo,SS Cd,SS Pb,CL P,CL Ca,CL Fe,CL Cu,CL Zn,CL As,CL Se,CL Mo,CL Cd,CL Pb,TD P,TD Ca,TD Fe,TD Cu,TD Zn,TD As,TD Se,TD Mo,TD Cd,TD Pb
16,9/13/2021,6,9.507310739,0,69.77342263,3.321136451,0,0.546421337,0,0,0.028137399,0.342031608,0,22692.94757,8.593404048,2.3098092,2.607646212,2.283055629,0.0854571,3.23871204,0.007551008,0.190308703,3.434652769,50282.55358,0.178932129,2.701830484,2.79495302,6.058677735,0.113445613,8.90967141,0.024812196,0.100226506
17,10/1/2021,6,6.811,0,39.675,2.007,0,0.366,0.01,0,0.014,0.298,0,0,7.021,0.642,0.83,0.022,0,0,0.003,0.042,3.119,40248.931,0.281,1.549,4.414,3.538,0.08,8.138,0.012,0.055
18,10/15/2021,6,6.948333333,0,70.9795,3.643166667,0,0.6045,0,0.1325,0.024,0.519833333,0.368166667,993.27983,13.099,0.770333333,1.134,0.2295,0.009666667,0.5905,0.001,0.050166667,2.8515,40010.0765,1.7265,1.3175,3.841,2.668,0.072,10.785,0.016,0.046
19,6/21/2021,8,7.07962175,240.27629,76.41771312,4.588729853,1.999340187,0.8083074,0,0,0.022473722,0.960495646,4.54903094,2779.79453,53.84963184,1.040373521,0.819875083,0.96303719,0.013685798,0.84848591,0.00567227,0.142202761,38.31534624,56078.16017,0.893056537,8.278153016,2.753237896,11.07861273,0.128457399,11.2267707,0.032270945,0.162391533
20,7/6/2021,8,4.31469248,0,64.2787619,0.548976868,0,0,0.085646177,0,0,0,18.51771477,0,4.08508422,3.724227519,1.893781437,0.49225971,0.030299831,0.5010012,0.00612961,0.568818556,21.99290963,64542.17769,13.59567699,3.929879599,2.688013804,13.4973102,0.146304189,10.08598024,0.036993308,0.136291653
21,7/19/2021,8,17.28220635,275.55012,64.58998198,1.31696257,0.257544352,0.83104463,0.092762768,0,0,0.07008737,0,5567.8447,12.5026499,4.048789334,1.395351402,0.77179027,0,0.596115455,0.012305567,0.174909919,14.8847409,58167.69772,2.290534831,2.773362369,2.219125835,11.16491357,0.183302009,7.50269646,0.026214843,0.052725595
22,8/2/2021,8,11.60464143,0,98.72452165,4.836482006,1.363008714,1.39493791,0.116860376,0,0.02580039,0.555444576,0,6961.89574,10.13037914,4.245332308,2.582665965,0.28482868,0,0.720927283,0,0.121190534,18.50330552,65801.51352,2.277332615,4.296547236,1.892685117,13.81803672,0.254583381,5.763170496,0.026500712,0.085148959
23,8/16/2021,8,0,0,99.07096251,3.33619534,1.284228185,0.35843864,0.029324774,0,0.018818867,0.522797841,0,7336.40908,13.69942974,4.106260062,1.98266539,1.12974454,0.045397237,1.3743624,0.00833696,0.213727705,36.34778047,71782.54482,0.49338685,3.765338548,2.580406936,12.08750693,0.167550941,15.92229097,0.024794747,0.101165397
24,8/30/2021,8,29.55589323,0,62.97483045,2.865891618,0.304256811,0,0,0,0.004461661,0.454758112,0,8103.59801,13.8152721,3.046791334,1.686954074,2.36635308,0.022936367,3.16687589,0.004887218,0.105222234,34.12074125,65901.15293,0,3.691571936,1.720718505,10.15058704,0.158904198,14.00496591,0.030558249,0.120869948
25,9/13/2021,8,11.37706793,0,86.40145344,3.038095379,0,0.100770367,0.084042035,1.50529514,0.025238899,0.121327648,1.330575896,20383.64192,10.51610198,3.030486955,2.635813361,2.374606449,0.036061684,2.875791717,0.009671571,0.305860834,4.152425755,49172.6042,0.031300909,2.387899073,1.458427955,6.710325431,0.127357681,7.466007063,0.017109357,0.083205889
26,10/1/2021,8,7.724,0,17.098,1.692,0,0.184,0,0.064,0.006,0,0,288.41,7.632,1.064,1.294,0.116,0.01,0.19,0,0.153,4.573,37895.78,0.886,1.368,4.395,3.983,0.074,6.998,0.011,0.052
27,10/15/2021,8,,,,,,,,,,,,,,,,,,,,,2.7195,40405.7985,1.181,1.2395,3.058,3.22725,0.0815,9.995,0.0105,0.04425
28,6/21/2021,9,6.19706857,0,133.2097797,0,0,1.066052287,0,0,0.018169191,0.727822082,1.40060906,7021.12427,22.78729661,15.83257504,6.510218728,0.881677905,0.049016804,0.474766704,0.00477784,0.134805956,45.17464808,47860.89366,0.641500704,4.649268471,1.716684255,7.991082317,0.096693384,6.277172244,0.021627081,0.167812833
29,7/6/2021,9,5.8951593,0,83.9993086,1.427425267,0.846646503,0,0.052536872,0,0.009800833,0,16.92347313,2818.56944,13.83634617,3.465171513,1.378122759,0.73391087,0,0.580725053,0.00709092,0.804920682,23.98911113,57561.88975,0.901156391,2.952356151,1.664227135,10.19000559,0.139455209,6.414796979,0.025913214,0.388403721
30,7/19/2021,9,14.53617618,0,78.69793785,1.353502474,0,0.401362946,0,0.020058989,0.022022235,0.177714057,0,5277.95583,9.460815439,2.901480518,2.976528061,1.052274706,0.055385983,0.442553172,0.00385927,0.090511604,15.48572838,46547.8567,0.480671828,1.949416209,1.335599783,7.768786615,0.136027027,4.466701973,0.01616098,0.02771687
31,8/2/2021,9,11.21361143,0,69.6731838,2.408454326,0,0.02036471,0,0,0.01685481,0,0,6342.32002,10.49325827,3.445564426,1.477402669,0.958769387,0.002683338,0.546022506,0.004101194,0.355622107,14.79225418,56660.12246,0.277363803,2.99634338,1.55468088,9.721559083,0.17067018,3.985068849,0.020549307,0.095355525
32,8/16/2021,9,0,217.36906,125.4414948,4.767276668,1.995379996,0.41638528,0.020229403,1.86093602,0.038254291,0.503977902,1.31913373,4287.5851,12.91718481,3.277283195,1.583349297,0.865248899,0.056985544,1.3415456,0.003338405,0.163224239,36.22341502,63519.75024,0,2.782137937,1.205649936,9.576340401,0.138896973,10.41337887,0.013785912,0.056156678
