"","ndate","SITE_DISTANCE","OM.AREA.g.m2","Al"
"293",18800,144.32,3.497570371,1.514310748
"294",18800,144.32,90.82932705,2.050020169
"295",18800,144.32,66.06515805,1.868035191
"296",18800,144.32,66.06515805,14.5214919411288
"297",18800,144.32,108.8582718,5.940228341
"298",18800,167.82,96.51168119,5.362273579
"299",18800,167.82,61.66418643,3.971229294
"300",18800,144.32,42.99929332,4.734436221
"301",18800,167.82,10.38662729,3.022092539
"302",18800,167.82,94.66059785,8.67098795252467
"303",18800,167.82,44.65797036,3.512455516
"304",18815,144.32,160.63406,0.0600987491005043
"305",18815,167.82,157.3868585,6.146302251
"306",18815,167.82,83.19023195,6.592460671
"307",18815,89.22,38.86826223,3.303964758
"308",18815,89.22,110.2771622,5.106419796
"309",18815,89.22,107.645254,5.828246685
"310",18815,144.32,6.173283415,5.149253731
"311",18815,144.32,102.3581151,8.124762267
"312",18815,144.32,104.7507532,6.498074194
"313",18815,144.32,31.4272434,4.799816626
"314",18815,167.82,169.0761329,6.877897991
"315",18815,167.82,59.19724939,3.826838088
"316",18815,167.82,47.22753133,7.16553663
"317",18828,0,2.287930071,32.2601026280372
"318",18828,167.82,12.88657694,3.683504887
"319",18828,144.32,112.824946,5.18619146039106
"320",18828,144.32,119.1886731,4.32019792602982
"321",18828,144.32,95.40011032,7.5574111558722
"322",18828,144.32,88.8752175,8.44533656589176
"323",18828,167.82,87.91411786,4.563903716
"324",18828,0,10.01726375,31.2082735841841
"325",18828,89.22,56.68443419,17.4195466273714
"326",18828,89.22,10.78574445,2.969587602
"327",18828,89.22,114.288766,9.58059028704385
"328",18828,144.32,101.1590089,6.080097087
"329",18828,167.82,215.7216195,-10.775429326302
"330",18828,167.82,102.1936399,3.990565026
"331",18828,167.82,107.9437718,3.495725495
"332",18842,167.82,16.56674854,4.673133138
"333",18842,167.82,17.23238431,5.165196591
"334",18842,0,26.44682596,3.53438914
"335",18842,0,2.989512518,30.6785795651643
"336",18842,0,12.11054611,29.4373641589657
"337",18842,64.82,1.806452892,3.278741169
"338",18842,89.22,1.740904709,2.346666667
"339",18842,89.22,36.86438975,3.265658747
