"","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","SAMPLE_DESCRIPTOR","OM.AREA.g.m2","ASH.AREA.g.m2","PHICOCYANIN.MG.M2","TOTAL.MG.M2.RITCHIE","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","r","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","Al.1","Alr.1","As.1","B.1","Br.1","Ba.1","Be.1","Car.1","Cd.1","Co.1","Cr.1","Cu.1","Fe.1","Fer.2","Fer.1.1","Kr.1","Lir.1","Mgr.1","Mn.1","Mnr.1","Mo.1","r.1","Ni.1","P.1","Pb.1","S.2","Sr.1","S.1.1","Sb.1","Se.1","Si.1","Sir.2","Sir.1.1","Sn.1","Srr.1","Ti.1","Tl.1","Zn.1","Znr.1","UF_P","UF_Fe_NH3","UF_Cu_NH3","UF_Zn","UF_As_Oshift","UF_Se82_Oshift","UF_Mo_Oshift","UF_Cd114","UF_Pb_NH3","F_P","F_Fe_NH3","F_Cu_NH3","F_Zn","F_As_Oshift","F_Se82_Oshift","F_Mo_Oshift","F_Cd114","F_Pb_NH3","W_P","W_Fe_NH3","W_Cu_NH3","W_Zn","W_As_Oshift","W_Se82_Oshift","W_Mo_Oshift","W_Cd114","W_Pb_NH3","TURNOVER"
"1",2021-06-22,"BG","EPIL",2.66666666666667,NA,8.8990374675,64.227284925,14.9495567243333,21.7904036736667,16.87865807,17.96551305,0.0411300698333333,3.05853997733333,3.33147439983333,3.82915539166667,0.000858273166666667,68.73571416,0.00395983433333333,0.00885667483333333,0.0196585016666667,0.427754352166667,13.99027042,16.1638817083333,16.2937513583333,7.83096218883333,0.0149381695,6.05773931866667,1.7993315055,1.93345653966667,0.000465747666666667,15.8285353508333,0.0142885726666667,1.51869281183333,0.0742122033333333,2.26273348216667,2.41176454883333,3.70721036266667,0.00132445816666667,0.00349815533333333,4.30134784083333,4.58608190133333,4.61742322466667,0.0011298995,0.2097560805,0.569923876,0.0008335755,3.76694278566667,4.35435848516667,101.619975132,155.57840573,0.366478934166667,14.5006362163333,15.7929373923333,19.6260565345,0.00805595233333333,502.853314026667,0.032621555,0.0717608885,0.157129197166667,3.80499203566667,118.695178,146.545943085,148.939475908333,52.4642346918333,0.1363375955,53.5114346478333,13.0476154323333,14.326865841,0.0028319675,87.5239544316667,0.117294137,12.5291322843333,0.644090098166667,18.032504868,19.2842285321667,28.6069621251667,0.00767809866666667,0.0212704901666667,28.2413842276667,30.2906009773333,30.5570961415,0.006870339,1.45142646133333,5.06495865383333,0.00506854616666667,20.7933341236667,23.7669233573333,49.5757575757576,1.34228463932066,4.72727272727273,1.03434343434343,9.17171717171717,0.125252525252525,5.34141414141414,0.0282828282828283,0.15959595959596,54.6363636363636,14.4626262626263,7.7959595959596,2.86868686868687,10.8565656565657,0.171717171717172,6.33737373737374,0.0323232323232323,0.280808080808081,54.8383838383838,127.59595959596,16.8585858585859,7.70707070707071,10.2323232323232,0.139927773969786,5.63636363636364,0.0422948784926886,0.838383838383839,0.265958765
"2",2021-07-07,"BG","EPIL",3,NA,17.199609403,101.2452386302,21.137532863,34.931034708,37.6558557832,40.8769723702,0.0666148696,26.175654318,29.2148883602,32.2887721896,0.0018235692,87.1746911206,0.006735735,0.0229388176,0.0407414034,0.733127698,24.2626796078,26.9173174794,27.2022001068,32.413654675,0.0280925756,11.2524304998,3.8739971944,4.269703868,0.0010171206,73.2195021008,0.0312655046,1.947110612,0.1188807676,3.429221202,3.7885917706,5.1666922918,0.0069185184,0.0076394404,5.7259165936,6.500151523,6.592759286,0.002467529,0.6519188372,0.991113054,0.0020434746,29.154714766,32.7690673854,864.9775103094,939.5184679866,1.618139144,536.7069064864,598.5215454902,659.8330514866,0.0469134894,1757.5251053192,0.1520060506,0.5116212304,0.9218480198,18.102916565,598.033927249,665.0552202634,672.7755899174,678.2349855136,0.6829096066,267.1618786672,89.2477167482,98.72468522,0.0197399706,1500.8686440894,0.7146588732,43.3364859146,2.905404074,79.1618620766,87.355911111,114.5373561924,0.1283644548,0.1482639564,129.9146177184,147.7175231196,149.5869050624,0.0478890604,13.503777133,24.6374611436,0.0383468916,603.1929016616,675.605796807,18.9676767676768,1.34228463932066,3.16969696969697,1.6020202020202,11.230303030303,0.15959595959596,5.06666666666667,0.0303030303030303,0.260606060606061,41.2080808080808,14.0121212121212,8.13939393939394,3.3959595959596,11.9191919191919,0.151515151515152,5.28888888888889,0.0323232323232323,0.741414141414141,26.8298719943121,100.10101010101,4.19484188039155,4.64646464646465,9.77777777777778,0.139927773969786,4.04040404040404,0.0422948784926886,0.280208700671978,0.181773201
"3",2021-07-20,"BG","EPIL",3,NA,25.566512958,148.97418979,16.297082385,41.640635078,27.0277044,30.54262316,0.037669951,18.45919484,20.89753852,22.51911676,0.001021361,93.33005749,0.004693405,0.021178618,0.027777707,0.52599684,17.32057897,19.51515591,19.69676759,22.85908515,0.022472184,8.424607371,3.134149311,3.503567995,0.001471657,50.3129146,0.020245018,1.570733119,0.084940531,3.302086899,3.620008553,4.05314048,0.003838822,0.005576626,3.760962347,4.276546252,4.32842118,0.003542179,0.522949421,0.720535801,0.001315322,19.917862,22.54273223,691.00415484,780.8683708,0.9630892854,471.937244,534.27718928,575.73529054,0.0261126304,2386.12412418,0.1199940046,0.5414634038,0.7101791036,13.4479050334,442.82680672,498.9344864,503.57766382,584.42709658,0.5745353858,215.3878335,80.129268956,89.574016544,0.0376251404,1286.32578308,0.5175945048,40.158168642,2.1716331912,84.422847496,92.550995562,103.624668604,0.0981452798,0.1425748806,96.154692566,109.336375176,110.662636182,0.0905611654,13.3699931384,18.4215878992,0.0336281942,509.23027688,576.33905554,12.7515151515152,1.34228463932066,2.59393939393939,2.25050505050505,9.98787878787879,0.145454545454545,4.30707070707071,0.0222222222222222,0.117171717171717,12.6363636363636,8.24040404040404,5.75757575757576,3.81414141414141,10.3353535353535,0.296969696969697,4.53131313131313,0.0222222222222222,0.298989898989899,26.8298719943121,111.060606060606,8.60606060606061,4.06060606060606,12.1818181818182,0.424242424242424,5.29292929292929,0.0422948784926886,0.280208700671978,0.176516091
"4",2021-08-03,"BG","EPIL",3,NA,6.5918507368,33.32427245,9.9550508658,19.260377498,16.399553024,20.208273958,0.008725032,10.742735357,12.580188673,12.749461339,0.000219147,99.485423864,0.0026510754,0.0194184178,0.0148140104,0.3188659826,10.3784783364,12.112994336,12.191335072,13.3045156224,0.0168517926,5.5967842412,2.3943014276,2.7374321226,0.0019261936,27.4063270928,0.0092245306,1.1943556262,0.0510002948,3.1749525956,3.4514253344,2.9395886686,0.0007591246,0.0035138116,1.7960080996,2.0529409812,2.0640830734,0.004616829,0.393980004,0.4499585484,0.0005871692,10.6810092296,12.316397068,117.682994396,144.61183332,0.047850131,84.302403786,98.493374064,99.62640882,0.0016232858,649.98164932,0.0169903758,0.1444073046,0.1043436552,2.0769045506,68.579651542,79.632926514,80.079886348,101.674153016,0.114459085,37.595659242,15.9781543722,18.2073049646,0.0135368418,211.755106428,0.0625838094,8.1377631028,0.3346456608,20.9990177232,22.6708869818,19.376282838,0.0056229234,0.0235141442,12.4414044666,14.27927644,14.3466495154,0.0287290012,2.8328954748,2.9795996608,0.00434923,83.021252178,95.781596642,21.010101010101,1.34228463932066,2.68080808080808,1.93939393939394,11.3656565656566,0.242424242424242,4.07676767676768,0.00845897569853771,0.131313131313131,19.4727272727273,8.8040404040404,5.03434343434343,4.89090909090909,12.0747474747475,0.248484848484849,4.44646464646465,0.0222222222222222,0.292929292929293,26.8298719943121,205.929292929293,10.6969696969697,10.8080808080808,12.4848484848485,0.139927773969786,4.23232323232323,0.0422948784926886,1.36363636363636,0.273656656
"5",2021-08-17,"BG","EPIL",3.83333333333333,NA,17.0451214293333,84.9840735333333,25.3434524316667,48.15390353,9.92832183483333,12.3526554545,0.0091218245,5.382592877,6.43474158433333,6.71431248933333,0.000200896166666667,92.6914760783333,0.00216573233333333,0.0119515411666667,0.0104508633333333,0.268288544666667,8.7592673545,10.468880595,10.5470036248333,8.12606027583333,0.0137957425,4.72403360716667,2.07366863033333,2.45884879833333,0.0014205165,15.8600971885,0.00689158433333333,0.889603456833333,0.0415813086666667,2.57572627516667,2.95921638566667,2.42259936916667,0.000695920333333333,0.004213506,0.961764486666667,1.10848778383333,1.107261926,0.00405953633333333,0.289456639,0.317917037166667,0.000538282166666667,5.88536308716667,6.7612641925,179.602243908333,224.000452496667,0.167547100666667,100.891407623333,120.881756923333,126.097368486667,0.0037432725,1518.23098748333,0.0387039695,0.221149320833333,0.188795710666667,4.866973088,155.813039656667,186.770307511667,188.307469435,150.603887736667,0.244138996,83.1519507483333,37.9617204733333,45.1020527183333,0.0241435041666667,297.579941801667,0.124363850833333,15.547616795,0.7474696555,44.985215835,51.8813703316667,42.3795765216667,0.0129663875,0.0733436136666667,17.8954791305,20.6631671881667,20.6650929045,0.0623862358333333,5.00891612233333,5.61594867816667,0.0100292745,109.83582392,126.515670655,40.169696969697,1.34228463932066,2.52323232323232,1.99393939393939,10.0969696969697,0.228282828282828,5.13333333333333,0.00845897569853771,0.0560417401343956,34.9414141414141,8.04444444444445,4.68484848484849,3.08686868686869,11.1393939393939,0.191919191919192,5.73131313131313,0.0181818181818182,0.218181818181818,26.8298719943121,119.757575757576,4.19484188039155,4,11,0.139927773969786,5.38383838383838,0.0422948784926886,0.767676767676768,0.228997951
"6",2021-09-22,"BG","EPIL",3,NA,25.971868518,193.02290534,24.5352589494,74.884639678,10.6418828962,13.425853064,0.0087889184,4.5563154732,5.328901665,5.380147323,0.0000998182,90.66590401,0.001699337,0.0090365062,0.009773143,0.2346873508,8.000647841,9.9824781738,10.1531954716,6.7951932134,0.0137900562,4.6373093336,1.3733868872,1.6156673584,0.0013377976,12.4350599024,0.0065120362,0.8231613606,0.0368040618,2.2740468676,2.8064228724,2.353311477,0.0003457694,0.0016630482,1.026067744,1.1832887778,1.193112736,0.0049184158,0.2540244532,0.3700959004,0.0002674464,4.460397487,5.3219948328,278.01401818,351.22009094,0.2283930512,117.899980752,138.203712336,139.217844752,0.0025855084,2380.3070626,0.0448854694,0.23486782,0.253778935,6.1654666514,208.5629856,259.8463211,264.34559478,176.498532694,0.3600896566,120.807370256,36.530632726,42.89184901,0.0356944562,322.72849798,0.1710180006,21.694634876,0.9696231848,59.507470858,73.763371102,61.806818222,0.0089559966,0.0414686862,26.984610226,31.13949122,31.400376624,0.1300343568,6.6213010138,9.6074442336,0.006927302,115.54579183,137.773847452,5.36597439886241,3.4020202020202,2.17373737373737,10.210101010101,7.4020202020202,0.163636363636364,6.36161616161616,0.00845897569853771,0.129292929292929,5.36597439886241,11.0080808080808,3.40808080808081,15.5050505050505,7.46464646464646,0.0929292929292929,6.37777777777778,0.00845897569853771,41.7515151515152,26.8298719943121,151.080808080808,4.19484188039155,6.77777777777778,7.65656565656566,0.139927773969786,6.18181818181818,0.0422948784926886,1.02020202020202,0.205083453
"7",2021-06-22,"BN","EPIL",3,NA,8.7655947752,65.654505962,21.390918088,18.420469158,12.39701528,12.561245644,0.024009524,3.0703924374,3.1031444038,3.8704250878,0.0006275578,51.540749234,0.002663924,0.0074331036,0.0128531272,0.274967917,10.3239072734,11.298437195,11.3411238272,5.5107748736,0.0103461168,4.4092577848,1.1225837152,1.191996215,0.0004732244,11.9673377492,0.01097979,2.8881536318,0.0499945756,1.4795125546,1.4717390596,2.979034722,0.0010949928,0.0035543152,0.925492379,0.971957177,0.9810479098,0.0011480392,0.1514944808,0.3785099038,0.0008469576,3.7316997076,3.8956637478,114.170009634,116.34519056,0.2347032078,19.2178608266,19.4316491352,25.1711232046,0.0061565684,411.72244306,0.0229398214,0.0653628414,0.1171648644,2.6914729726,99.528811314,110.213257846,110.686348392,41.694037764,0.0986991188,41.62055948,9.9213495606,10.5726731024,0.003425772,82.629972506,0.0987234562,24.282905672,0.4732513166,12.119712276,12.0955019394,24.078569306,0.0079268836,0.0257304326,6.9939317916,7.3808486426,7.4580549138,0.0083108976,1.1793942142,3.683586253,0.0061313026,25.3920454056,26.477931278,49.3757575757576,1.34228463932066,4.67474747474748,1.17777777777778,9.12929292929293,0.173737373737374,4.87474747474747,0.0262626262626263,0.163636363636364,54.4868686868687,14.2646464646465,8.50707070707071,4.07676767676768,10.4969696969697,0.202020202020202,5.57777777777778,0.0343434343434343,0.288888888888889,58.7373737373738,120.666666666667,10.6868686868687,5.91919191919192,10.5656565656566,0.139927773969786,5.37373737373737,0.0422948784926886,0.898989898989899,0.265671945
"8",2021-07-07,"BN","EPIL",3,NA,7.83907613075,50.3520120325,10.7052614682,16.618993447,20.882993332,23.045504484,0.0390801526,12.7874127824,14.3521301594,15.9048873906,0.000963095,58.112923482,0.0035602204,0.0125933254,0.022482483,0.408181438,13.1780826922,15.816321332,15.887835762,16.5201684602,0.0161073156,6.6743038144,2.2678125592,2.599630604,0.000456905,36.3091250396,0.0171795092,1.1725005684,0.0669723342,1.9055834446,2.1043269468,3.008477884,0.0032847476,0.003431676,2.7420191124,3.1169340714,3.1694732828,0.0011084266,0.3505715606,0.537020389,0.0008177338,14.4855506504,16.1474020106,188.283421475,204.702645695,0.32989045875,129.1470033325,144.91370999625,160.74090699625,0.00808415725,480.3433056,0.0294216525,0.1131067145,0.20259023325,3.37918391975,114.173780085,131.4762791825,131.545625895,161.4109083025,0.13577802075,56.2442085975,19.268096783,21.50408091275,0.0045804755,365.4055249125,0.1532031485,9.545855162,0.564397375,15.8209437705,17.371587587,25.2160273795,0.03358779725,0.03440325225,26.79114233875,30.385427035,30.94140771875,0.0111122035,3.28618165425,4.5849973875,0.00819794825,145.35861891525,161.92491134525,13.2222222222222,1.34228463932066,3.72929292929293,1.33535353535354,10.9151515151515,0.208080808080808,5.21212121212121,0.0262626262626263,0.280808080808081,33.779797979798,7.96969696969697,6.44848484848485,2.14949494949495,11.5191919191919,0.185858585858586,5.37575757575758,0.0303030303030303,0.424242424242424,26.8298719943121,25.040404040404,4.19484188039155,1.24242424242424,9.90909090909091,0.323232323232323,4.04040404040404,0.0422948784926886,0.280208700671978,0.21855842
"9",2021-07-20,"BN","EPIL",3,NA,14.4752973456,82.25829999,14.860367588,37.6133039586,18.14198991,20.82410372,0.021172083,12.71240948,14.59950329,15.4489252,0.000619926,92.38454646,0.002688326,0.016555898,0.018201443,0.324999576,10.89302168,12.74440727,12.78727916,15.6853703,0.016084681,5.916828952,2.076761942,2.358858191,0.001275576,34.52658526,0.012589543,1.167834825,0.054827793,2.476185026,2.663313217,2.882825649,0.002121705,0.00355871,2.252816763,2.557735782,2.593870641,0.003332656,0.402477862,0.455885922,0.000779621,13.49030169,15.15798304,262.61069836,301.43509326,0.3064721998,184.015907248,211.332151264,223.627785906,0.0089736104,1337.29377998,0.0389143196,0.2396515522,0.2634712966,4.7044654924,157.679727766,184.47908476,185.099668128,227.05039908,0.2328305444,85.647858422,30.061746624,34.145173712,0.0184643486,499.78258796,0.1822373768,16.9047563476,0.793648601,35.843514538,38.552250744,41.729758466,0.0307123064,0.0515133838,32.61019251,37.023985982,37.547048802,0.0482411908,5.8259867276,6.5990842824,0.0112852458,195.27612829,219.416311688,5.36597439886241,1.34228463932066,0.838968376078311,0.101572802089682,0.0363636363636364,0.0279855547939572,0.0204966385848859,0.00845897569853771,0.0560417401343956,5.36597439886241,5.78787878787879,5.70707070707071,2.96969696969697,10.1313131313131,0.147474747474747,4.41414141414141,0.0181818181818182,0.18989898989899,26.8298719943121,32.2525252525253,4.19484188039155,1.29292929292929,12.3535353535354,0.139927773969786,5.50505050505051,0.0422948784926886,0.280208700671978,0.224715653
"10",2021-08-03,"BN","EPIL",3,NA,11.5039370272,73.76325404,7.0210622966,32.122327952,15.400986482,18.60270295,0.0032640138,12.6374061832,14.846876427,14.9929630044,0.0002767566,126.656169432,0.0018164318,0.0205184714,0.0139204026,0.241817713,8.6079606586,9.6724932148,9.6867225664,14.8505721396,0.016062047,5.15935409,1.885711324,2.1180857782,0.002094257,32.744045482,0.0079995766,1.1631690824,0.042683251,3.0467866082,3.2222994878,2.7571734144,0.0009586618,0.0036857438,1.7636144138,1.9985374932,2.0182679988,0.005556886,0.4543841634,0.3747514558,0.0007415082,12.4950527346,14.1685640736,165.92611525,202.187600892,0.0465297926,121.452197728,142.72654544,144.319202276,0.0027166124,1374.08339868,0.0221545292,0.2056321588,0.1501709528,2.9420924104,100.417789596,113.725110594,114.081498792,146.49876129,0.1786658704,58.206872244,24.3293822534,27.69258112,0.023147581,316.825663066,0.0902480538,12.6611099618,0.4929256774,34.393324932,37.197698136,31.750271246,0.009410114,0.045889356,18.2903110622,20.7785563662,20.9261697896,0.0629714282,4.6524528442,4.2855744026,0.007278559,120.279299348,136.961998504,18.2424242424242,14.5050505050505,2.47676767676768,1.56767676767677,11.5717171717172,0.157575757575758,3.96767676767677,0.00845897569853771,0.222222222222222,16.9272727272727,9.54343434343434,5.65050505050505,3.04646464646465,11.9232323232323,0.185858585858586,4.15151515151515,0.00845897569853771,0.909090909090909,26.8298719943121,323.282828282828,14.1515151515152,20.969696969697,12.8787878787879,0.424242424242424,3.98989898989899,0.0909090909090909,2.01010101010101,0.313963295
