,SAMPLING_DATE,SITE,SAMPLE_DESCRIPTOR,FIELD.REP,Al,Al_r,As,B,B_r,Ba,Be,Ca_r,Cd,Co,Cr,Cu,Fe,Fe_r238,Fe_r234,K_r,Li_r,Mg_r,Mn,Mn_r,Mo,Na_r,Ni,P,Pb,S181,S_r,S180,Sb,Se,Si,Si_r251,Si_r212,Sn,Sr_r,Ti,Tl,Zn,Zn_r
166,3-Aug-21,WS,EPIL,4,20.24853801,24.61988304,0.019005848,25.16081871,30.35087719,32.73391813,-0.089181287,93.52339181,0.004385965,0.045321637,0.023391813,0.485380117,10.63888889,11.3494152,11.30847953,28.46491228,0.024853801,7.552631579,12.05555556,13.55847953,0.00877193,70.74561404,0.021929825,1.475146199,0.051169591,3.802631579,4.722222222,4.036549708,0.001461988,0.01754386,2.087719298,2.400584795,2.400584795,0.001461988,0.621345029,0.44005848,-0.024853801,27.19298246,30.55555556
86,7-Jul-21,WS,EPIL,2,33.38607595,34.86550633,0.071202532,26.63765823,29.6914557,31.57436709,0.001386076,75.53006329,0.003408228,0.019351266,0.030822785,0.484889241,12.79272152,14.10601266,14.05063291,28.9556962,0.023560127,8.378164557,9.375,10.79113924,0.005137658,69.62816456,0.031756329,1.783227848,0.053085443,2.891613924,3.083860759,4.275316456,0.005952532,-0.007685918,3.568829114,4.04193038,4.11471519,-0.027547468,0.618670886,0.547468354,-0.050878165,27.93512658,31.76424051
89,7-Jul-21,WS,EPIL,5,81.59722222,87.84722222,0.081018519,82.93981481,94.62962963,101.4351852,0.001965278,81.64351852,0.004229167,0.041990741,0.065393519,0.481018519,13.27777778,14.34027778,14.31481481,88.98148148,0.031435185,12.1412037,13.29166667,14.83101852,0.00950463,216.25,0.060185185,3.527777778,0.162523148,4.467592593,4.877314815,6.053240741,0.016326389,-0.037916667,6.560185185,7.467592593,7.534722222,-0.064398148,1.763888889,0.494444444,-0.075462963,89.09722222,102.2916667
21,22-Jun-21,DL,EPIL,1,10.97054381,11.5521148,0.049093656,0.26891994,0.30902568,0.572129909,0.000689199,53.51208459,0.003356873,0.007651057,0.015037764,0.478851964,13.89350453,15.56646526,15.67598187,4.025679758,0.01163142,4.358006042,3.090634441,3.352719033,0.003938822,6.555891239,0.011110272,2.128776435,0.073753776,3.39010574,3.750377644,4.622356495,0.000938822,-0.003740181,3.030589124,3.244335347,3.293806647,-0.013931269,0.10755287,0.541163142,-0.019535498,1.016616314,1.026812689
31,22-Jun-21,BN,EPIP,1,21.03144172,23.19785276,0.044861963,6.313266871,6.723542945,7.166411043,0.001143597,20.5904908,0.00305023,0.01131135,0.019708589,0.474501534,15.18021472,19.08550613,19.42101227,9.131518405,0.018029141,7.057131902,1.468366564,1.606019939,-0.000614839,17.01878834,0.015730445,1.161809816,0.080157209,1.291794479,1.399731595,1.809240798,0.000446127,-0.001718367,2.664877301,2.84892638,2.873849693,-0.006911426,0.171299847,0.673696319,-0.010793712,6.689033742,7.517254601
94,7-Jul-21,BN,EPIL,5,18.23819978,20.44182217,0.041163557,6.632821076,7.497255763,8.004939627,0.001100714,61.52579583,0.004108123,0.011020856,0.018367179,0.469264544,14.55268935,17.45609221,17.53293085,10.266191,0.016012623,6.682217344,2.412458836,2.741218441,-0.000262623,19.32217344,0.015609221,1.1701427,0.07708562,2.045005488,2.224478595,3.197036224,0.001996707,-0.002631998,2.453622393,2.77442371,2.832052689,-0.011100439,0.25787596,0.556256861,-0.014283754,7.703073546,8.723929748
97,7-Jul-21,GR,EPIL,3,108.1954887,115.2255639,0.078947368,125.1879699,140.7142857,152.556391,0.001601504,174.962406,0.006406015,0.056466165,0.100977444,0.467669173,12.86090226,13.77819549,13.78195489,130.7894737,0.031199248,14.06766917,7.248120301,7.842105263,-0.000804511,334.3984962,0.064962406,2.540601504,0.062180451,3.898496241,4.240601504,7.229323308,0.023319549,-0.058909774,9.345864662,10.53383459,10.76691729,-0.117932331,2.468421053,0.489473684,-0.043345865,133.2330827,152.443609
24,22-Jun-21,DL,EPIL,4,19.02847571,21.38190955,0.050809604,11.15019542,12.05471803,11.90396427,0.000740089,69.73757677,0.003034618,0.010424344,0.018994975,0.466778336,12.58235623,14.61194863,14.69290899,13.65717476,0.013556672,5.027917365,1.834729202,1.992462312,0.001447795,29.11781128,0.012741485,1.793411502,0.067280849,2.776102736,3.056951424,4.316024567,0.001095198,-0.003579006,3.224455611,3.425460637,3.456169738,-0.010731435,0.289782245,0.56811837,-0.011853713,10.66443328,12.03796762
35,22-Jun-21,BN,EPIP,5,23.55277476,26.03101197,0.047062024,8.133841132,8.72687704,9.532100109,0.001178727,22.88628945,0.003041349,0.011863439,0.02265778,0.465179543,16.31392818,19.40152339,19.64091404,11.07453754,0.018473885,7.290533188,1.679542982,1.829434168,-0.00038765,22.2796518,0.01672198,1.253536453,0.077693145,1.378944505,1.50788901,1.968171926,0.000934712,-0.004793254,4.420565832,4.795973885,4.815016322,-0.00945321,0.203890098,0.70429815,-0.012853645,8.626224157,9.741566921
276,13-Oct-21,DL,EPIL,3,11.31523643,14.65148862,0.027145359,4.985989492,5.784588441,5.746059545,-0.11821366,121.9614711,0.002977233,0.009807356,0.011208406,0.459369527,8.933450088,11.31348511,11.43432574,7.203152364,0.015761821,4.383537653,3.588441331,4.656742557,0.002802102,13.47635727,0.007180385,0.827495622,0.056917688,2.754816112,3.175131349,2.709281961,-0.000175131,0.001926445,1.218914186,1.434325744,1.432749562,0.007180385,0.246584939,0.447985989,-0.006129597,4.784588441,5.670753065
212,17-Aug-21,GR,EPIL,1,57.68398268,66.55844156,-0.062770563,69.37229437,80.43290043,85.88744589,-0.151515152,154.8051948,0,0.090909091,0.043290043,0.458874459,9.898268398,11.23160173,11.18181818,70.4978355,0.032467532,9.006493506,6.060606061,6.551948052,0.004329004,172.0562771,0.017316017,2.231601732,0.060606061,4.497835498,5.225108225,4.601731602,0.002164502,-0.002164502,6.692640693,7.538961039,7.590909091,-0.002164502,1.547619048,0.409090909,-0.015151515,67.16450216,78.63636364
22,22-Jun-21,DL,EPIL,2,10.26091587,10.88924388,0.047923323,0.344941427,0.372310969,0.810436635,0.000636315,50.88924388,0.003176784,0.006922258,0.01615016,0.452928647,13.69542066,14.87220447,14.88817891,4.544728435,0.010804047,4.149627263,2.592119276,2.731629393,0.003234824,9.084132055,0.010207668,2.207667732,0.071246006,3.317891374,3.665069223,4.563897764,0.001119276,-0.004240149,3.649627263,3.85942492,3.93343983,-0.018636848,0.101277955,0.538338658,-0.017571885,1.143769968,1.189030884
47,22-Jun-21,BG,EPIP,5,47.28865979,49.84536082,0.055670103,35.11340206,38.36082474,42.12371134,0.001251546,35.75257732,0.00262268,0.024329897,0.046742268,0.445876289,17.48453608,19.44329897,19.37113402,38.44329897,0.020948454,8.457731959,1.736082474,1.895876289,-0.00137732,91.97938144,0.025793814,1.541237113,0.069680412,1.554639175,1.643298969,2.313402062,0.005390722,-0.017793814,12.69072165,14.01030928,14.05154639,-0.029525773,0.694123711,0.770927835,-0.010165979,35.55670103,41.32989691
277,13-Oct-21,DL,EPIL,4,13.57692308,17.32840237,0.017455621,8.946745562,10.50887574,10.30177515,-0.137573964,141.4792899,0.002662722,0.015088757,0.012130178,0.441420118,8.633136095,10.29585799,10.31360947,11.35798817,0.016272189,4.355029586,3.718934911,4.49112426,0.003550296,22.9704142,0.007692308,0.791715976,0.050887574,2.98816568,3.384615385,2.817455621,0.000591716,0.001775148,1.879289941,2.142307692,2.170414201,0.007988166,0.326035503,0.413313609,-0.006213018,8.349112426,9.931952663
