site,date,Element,UF,F,W,spm,colloidal,trulydissolved
6,6/21/2021,Se..77..77.77..ppb.,0.433699895,1.183838384,2.168499474,0.98466109,0.750138489,0.433699895
6,6/21/2021,Se77_Oshift,0.055646451,0.234343434,0.278232254,0.043888819,0.178696984,0.055646451
6,6/21/2021,Se78_Oshift,0.115151515,0.105050505,0.089658949,-0.015391556,-0.01010101,0.115151515
6,6/21/2021,Se80_Oshift,0.123232323,0.119191919,0.121212121,0.002020202,-0.004040404,0.123232323
6,6/21/2021,Se..82..82.82..ppb.,0.571717172,0.581818182,1.171717172,0.58989899,0.01010101,0.571717172
6,6/21/2021,Se82_Oshift,0.133333333,0.137373737,0.112595629,-0.024778108,0.004040404,0.133333333
6,6/21/2021,Mo_NH3,12.44646465,12.91717172,13.09090909,0.173737374,0.470707071,12.44646465
6,6/21/2021,Mo_Oshift,12.51515152,12.76363636,12.87878788,0.115151515,0.248484848,12.51515152
6,6/21/2021,Cd111,0.022222222,0.03030303,0.053180963,0.022877932,0.008080808,0.022222222
6,6/21/2021,Cd114,0.026262626,0.032323232,0.039323993,0.007000761,0.006060606,0.026262626
6,6/21/2021,Pb_STD,0.147474747,0.319191919,1.03030303,0.711111111,0.171717172,0.147474747
6,6/21/2021,Pb_NH3,0.078026292,0.280808081,1.04040404,0.75959596,0.202781789,0.078026292
8,6/21/2021,Na,17812.13131,16886.66465,16701.09091,-185.5737374,-925.4666667,17812.13131
8,6/21/2021,Mg,12352.32323,13010.79798,11881.39394,-1129.40404,658.4747475,12352.32323
8,6/21/2021,Al,3.022222222,7.393939394,130.4242424,123.030303,4.371717172,3.022222222
8,6/21/2021,P,38.31515152,42.86464646,49.64032951,6.775683046,4.549494949,38.31515152
8,6/21/2021,S,22371.86667,25004.20606,28364.88889,3360.682828,2632.339394,22371.86667
8,6/21/2021,K,3244.979798,3405.723232,4441.060606,1035.337374,160.7434343,3244.979798
8,6/21/2021,Ca,56078.1596,58857.95556,59098.23232,240.2767677,2779.79596,56078.1596
8,6/21/2021,V,1.997979798,1.842424242,2.747474747,0.905050505,-0.155555556,1.997979798
8,6/21/2021,Cr_KED,0.105050505,0.117171717,0.343434343,0.226262626,0.012121212,0.105050505
8,6/21/2021,Cr_NH3,0.092929293,0.103030303,0.363636364,0.260606061,0.01010101,0.092929293
8,6/21/2021,Fe_NH3,1.218874063,54.74343434,131.1616162,76.41818182,53.52456028,1.218874063
8,6/21/2021,Mn,31.74141414,34.23636364,47.14141414,12.90505051,2.494949495,31.74141414
8,6/21/2021,Fe_KED,1.364188275,55.44040404,128.3636364,72.92323232,54.07621577,1.364188275
8,6/21/2021,Co,0.065677402,0.065677402,0.32838701,0.262709608,0,0.065677402
8,6/21/2021,Ni,0.456565657,0.565656566,0.444444444,-0.121212121,0.109090909,0.456565657
8,6/21/2021,Cu_KED,8.234343434,9.181818182,13.41414141,4.232323232,0.947474747,8.234343434
8,6/21/2021,Cu_NH3,8.278787879,9.319191919,13.90909091,4.58989899,1.04040404,8.278787879
8,6/21/2021,Zn,2.753535354,3.573737374,5.575757576,2.002020202,0.82020202,2.753535354
