,Group.1,Group.2,Group.3,...1,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
24,8/17/2021,GC,EPIL,141,8/17/2021,NA,89.22,4,8.362828119,26.08588051,34.25288727,29.26126715,0.003327895,152.2407715,0.001388975,0.223072804,8.808810257,0.003180597,1.735476289,0.035110298,0.008830239,48.90604384,0.029257312,1261.527252,0.011267578,1.880086714,75.05243013,0.027136485,14.72178096,0.298066565,0.077631382,431.0745982,0.41638528,217.36906,0.038254291,4.767276668,125.4414948,1.86093602,0,0.503977902,0.020229403,1.995379996,0.865248899,4287.5851,0.003338405,3.277283195,12.91718481,1.3415456,1.31913373,0.163224239,0.056985544,1.583349297,9.576340401,63519.75024,0.013785912,2.782137937,0,10.41337887,36.22341502,0.056156678,0.138896973,1.205649936
25,9/9/2021,GC,EPIL,160.5,9/9/2021,NA,89.22,10.5,9.928259048,36.20987323,27.21675146,33.28428124,,,,,,,,,,,,,,,,,,,,,1.176807608,9662.8248,0.009825104,4.895938682,148.3613006,1.16964375,23.42151713,0.764350947,0.105506342,4.448885298,0.406572513,1335.60663,0.002820375,2.036028437,8.144214453,0.750045148,0,0.056008942,0.022052712,0,8.296948729,59504.3127,0.021602568,3.341088091,0,9.686871732,31.34709611,0.128019242,0.14691983,6.41316362
46,7/20/2021,BN,EPIP,259.2,7/20/2021,NA,167.82,3,16.69475641,99.17239503,27.09479813,76.25032676,,,,,,,,,,,,,,,,,,,,,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
52,8/17/2021,GC,EPIP,276.5,8/17/2021,NA,89.22,5,4.248516782,12.56608084,9.740985247,13.14342909,0.018413342,141.9496362,0.003136345,0.701276849,27.94468035,0.004286326,2.989548733,0.10336247,0.012475704,66.00820554,0.07137454,572.2121468,0.012134264,2.793346219,110.9121802,0.017174962,12.34981447,0.411536133,0.053350289,282.52107,0.41638528,217.36906,0.038254291,4.767276668,125.4414948,1.86093602,0,0.503977902,0.020229403,1.995379996,0.865248899,4287.5851,0.003338405,3.277283195,12.91718481,1.3415456,1.31913373,0.163224239,0.056985544,1.583349297,9.576340401,63519.75024,0.013785912,2.782137937,0,10.41337887,36.22341502,0.056156678,0.138896973,1.205649936
53,9/9/2021,GC,EPIP,295.5,9/9/2021,NA,89.22,10.555,5.067762233,21.67819206,7.203364442,12.43343942,,,,,,,,,,,,,,,,,,,,,1.176807608,9662.8248,0.009825104,4.895938682,148.3613006,1.16964375,23.42151713,0.764350947,0.105506342,4.448885298,0.406572513,1335.60663,0.002820375,2.036028437,8.144214453,0.750045148,0,0.056008942,0.022052712,0,8.296948729,59504.3127,0.021602568,3.341088091,0,9.686871732,31.34709611,0.128019242,0.14691983,6.41316362
64,9/22/2021,BG,FILA,409,9/22/2021,NA,144.32,3,8.69186686,36.88151375,,47.27273719,0.005361233,78.44055798,0.000988965,0.100197793,5.093691443,0.00130127,1.048823652,0.014418072,0.002758692,0.236831147,0.04659912,681.7948864,0.008595954,0.870905877,44.27368785,0.011310466,9.116235542,0.125319963,0.023978188,2.0585048,0.682013009,0,0.019420042,2.488774618,95.86829993,0,13.20644973,0.42035241,0.094139832,0.273647105,4.436061193,34274.09814,0.009602128,2.595777299,7.636057572,2.715559142,3.085017165,0.182998827,0.095902489,2.778720344,4.209,33636.098,0.01,1.221,0,2.46,3.64,0.057,0.072,0.858
67,7/20/2021,BN,FILA,352.2,7/20/2021,NA,167.82,3,105.3319452,500.431586,,317.3902614,0.010295143,76.91832149,0.001126406,0.1305381,5.804297003,0.001174427,0.632644405,0.017864168,0.001962374,0.279145077,1.303044395,7640.276078,0.121406407,15.50826143,681.0430274,0.119089171,67.17608637,2.160836362,0.194757246,32.74829044,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
75,8/17/2021,GC,FILA,374.5,8/17/2021,NA,89.22,4.5,85.79006107,388.3839201,,192.8375722,0.010647298,21.21929412,0.000486064,0.090632786,6.60062424,0.000811863,0.798776777,0.012205536,0.001320109,0.203754019,0.966366261,1605.90319,0.040123475,7.808787504,599.2378292,0.068986501,68.13904617,1.109352489,0.104636749,17.76233395,0.41638528,217.36906,0.038254291,4.767276668,125.4414948,1.86093602,0,0.503977902,0.020229403,1.995379996,0.865248899,4287.5851,0.003338405,3.277283195,12.91718481,1.3415456,1.31913373,0.163224239,0.056985544,1.583349297,9.576340401,63519.75024,0.013785912,2.782137937,0,10.41337887,36.22341502,0.056156678,0.138896973,1.205649936
76,9/9/2021,GC,FILA,395,9/9/2021,NA,89.22,10.57619048,69.43033989,637.4544967,,203.1218304,,,,,,,,,,,,,,,,,,,,,1.176807608,9662.8248,0.009825104,4.895938682,148.3613006,1.16964375,23.42151713,0.764350947,0.105506342,4.448885298,0.406572513,1335.60663,0.002820375,2.036028437,8.144214453,0.750045148,0,0.056008942,0.022052712,0,8.296948729,59504.3127,0.021602568,3.341088091,0,9.686871732,31.34709611,0.128019242,0.14691983,6.41316362
34,6/22/2021,WS,EPIL,8.4,6/22/2021,NA,0,3,9.838670442,53.6774008,16.85451351,23.71704004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
