Sample.Id,Element,Concentration
6_21_21_F_1,P,69.5959596
6_21_21_F_1,S,25272.66465
6_21_21_F_1,K,2767.682828
6_21_21_F_1,Ca,48149.22222
6_21_21_F_1,V,0.703030303
6_21_21_F_1,Cr_KED,0.111111111
6_21_21_F_1,Cr_NH3,0.098989899
6_21_21_F_1,Fe_NH3,23.81616162
6_21_21_F_1,Mn,72.02828283
6_21_21_F_1,Fe_KED,24.67474747
6_21_21_F_1,Co,0.065677402
6_21_21_F_1,Ni,0.563636364
6_21_21_F_1,Cu_KED,4.58989899
6_21_21_F_1,Cu_NH3,4.575757576
6_21_21_F_1,Zn,2.575757576
6_21_21_F_1,As_STD,11.94545455
6_21_21_F_1,As_KED,9.987878788
6_21_21_F_1,As_Oshift,12.00606061
6_21_21_F_1,Se..77..77.77..ppb.,0.433699895
6_21_21_F_1,Se77_Oshift,0.055646451
6_21_21_F_1,Se78_Oshift,0.111111111
6_21_21_F_1,Se80_Oshift,0.127272727
6_21_21_F_1,Se..82..82.82..ppb.,0.484848485
6_21_21_F_1,Se82_Oshift,0.062626263
6_21_21_F_1,Mo_NH3,17.61616162
6_21_21_F_1,Mo_Oshift,18.64444444
6_21_21_F_1,Cd111,0.010636193
6_21_21_F_1,Cd114,0.02020202
6_21_21_F_1,Pb_STD,0.22020202
6_21_21_F_1,Pb_NH3,0.226262626
6_21_21_F_6,Na,13784.20606
6_21_21_F_6,Mg,10670.28283
6_21_21_F_6,Al,13.52929293
6_21_21_F_6,P,32.16767677
6_21_21_F_6,S,23945.68081
6_21_21_F_6,K,2958.313131
6_21_21_F_6,Ca,52941.53333
6_21_21_F_6,V,1.347474747
6_21_21_F_6,Cr_KED,0.109090909
6_21_21_F_6,Cr_NH3,0.115151515
6_21_21_F_6,Fe_NH3,19.02222222
6_21_21_F_6,Mn,28.41010101
6_21_21_F_6,Fe_KED,20.08282828
6_21_21_F_6,Co,0.065677402
6_21_21_F_6,Ni,0.519191919
6_21_21_F_6,Cu_KED,8.632323232
6_21_21_F_6,Cu_NH3,8.103030303
6_21_21_F_6,Zn,3.402020202
6_21_21_F_6,As_STD,13.52121212
6_21_21_F_6,As_KED,10.63232323
6_21_21_F_6,As_Oshift,11.52323232
6_21_21_F_6,Se..77..77.77..ppb.,1.183838384
6_21_21_F_6,Se77_Oshift,0.234343434
6_21_21_F_6,Se78_Oshift,0.105050505
6_21_21_F_6,Se80_Oshift,0.119191919
6_21_21_F_6,Se..82..82.82..ppb.,0.581818182
6_21_21_F_6,Se82_Oshift,0.137373737
6_21_21_F_6,Mo_NH3,12.91717172
6_21_21_F_6,Mo_Oshift,12.76363636
6_21_21_F_6,Cd111,0.03030303
6_21_21_F_6,Cd114,0.032323232
6_21_21_F_6,Pb_STD,0.319191919
6_21_21_F_6,Pb_NH3,0.280808081
6_21_21_F_8,Na,16886.66465
6_21_21_F_8,Mg,13010.79798
6_21_21_F_8,Al,7.393939394
6_21_21_F_8,P,42.86464646
6_21_21_F_8,S,25004.20606
6_21_21_F_8,K,3405.723232
6_21_21_F_8,Ca,58857.95556
6_21_21_F_8,V,1.842424242
6_21_21_F_8,Cr_KED,0.117171717
6_21_21_F_8,Cr_NH3,0.103030303
6_21_21_F_8,Fe_NH3,54.74343434
6_21_21_F_8,Mn,34.23636364
6_21_21_F_8,Fe_KED,55.44040404
6_21_21_F_8,Co,0.065677402
6_21_21_F_8,Ni,0.565656566
6_21_21_F_8,Cu_KED,9.181818182
6_21_21_F_8,Cu_NH3,9.319191919
6_21_21_F_8,Zn,3.573737374
6_21_21_F_8,As_STD,11.83434343
6_21_21_F_8,As_KED,11.95555556
6_21_21_F_8,As_Oshift,12.04242424
6_21_21_F_8,Se..77..77.77..ppb.,0.433699895
6_21_21_F_8,Se77_Oshift,0.133333333
6_21_21_F_8,Se78_Oshift,0.18989899
6_21_21_F_8,Se80_Oshift,0.141414141
6_21_21_F_8,Se..82..82.82..ppb.,0.622222222
6_21_21_F_8,Se82_Oshift,0.139393939
6_21_21_F_8,Mo_NH3,12.07474747
6_21_21_F_8,Mo_Oshift,11.72121212
6_21_21_F_8,Cd111,0.038383838
6_21_21_F_8,Cd114,0.04040404
6_21_21_F_8,Pb_STD,0.290909091
6_21_21_F_8,Pb_NH3,0.305050505
6_21_21_F_9,Na,13672.11313
6_21_21_F_9,Mg,12533.95354
6_21_21_F_9,Al,10.86262626
6_21_21_F_9,P,46.57575758
6_21_21_F_9,S,19403.7596
6_21_21_F_9,K,3001.256566
6_21_21_F_9,Ca,54882.01818
6_21_21_F_9,V,1.602020202
6_21_21_F_9,Cr_KED,0.18989899
6_21_21_F_9,Cr_NH3,0.183838384
6_21_21_F_9,Fe_NH3,23.42828283
6_21_21_F_9,Mn,21.73535354
6_21_21_F_9,Fe_KED,25.32525253
6_21_21_F_9,Co,0.065677402
6_21_21_F_9,Ni,0.567676768
6_21_21_F_9,Cu_KED,21.55757576
6_21_21_F_9,Cu_NH3,20.48282828
6_21_21_F_9,Zn,8.226262626
6_21_21_F_9,As_STD,8.822222222
6_21_21_F_9,As_KED,7.901010101
6_21_21_F_9,As_Oshift,8.872727273
6_21_21_F_9,Se..77..77.77..ppb.,0.433699895
6_21_21_F_9,Se77_Oshift,0.055646451
6_21_21_F_9,Se78_Oshift,0.109090909
6_21_21_F_9,Se80_Oshift,0.145454545
6_21_21_F_9,Se..82..82.82..ppb.,0.521212121
6_21_21_F_9,Se82_Oshift,0.088888889
6_21_21_F_9,Mo_NH3,6.751515152
6_21_21_F_9,Mo_Oshift,6.707070707
6_21_21_F_9,Cd111,0.026262626
6_21_21_F_9,Cd114,0.034343434
6_21_21_F_9,Pb_STD,0.298989899
6_21_21_F_9,Pb_NH3,0.303030303
6_21_21_F_10,Na,12904.51919
6_21_21_F_10,Mg,14435.39394
6_21_21_F_10,Al,10.59393939
6_21_21_F_10,P,54.63636364
6_21_21_F_10,S,23872.66263
6_21_21_F_10,K,3354.323232
6_21_21_F_10,Ca,62509.88687
6_21_21_F_10,V,1.773737374
6_21_21_F_10,Cr_KED,0.139393939
6_21_21_F_10,Cr_NH3,0.119191919
6_21_21_F_10,Fe_NH3,14.46262626
6_21_21_F_10,Mn,19.8989899
6_21_21_F_10,Fe_KED,15.04242424
6_21_21_F_10,Co,0.065677402
6_21_21_F_10,Ni,0.587878788
6_21_21_F_10,Cu_KED,7.787878788
6_21_21_F_10,Cu_NH3,7.795959596
6_21_21_F_10,Zn,2.868686869
6_21_21_F_10,As_STD,9.531313131
6_21_21_F_10,As_KED,8.034343434
6_21_21_F_10,As_Oshift,10.85656566
6_21_21_F_10,Se..77..77.77..ppb.,0.433699895
6_21_21_F_10,Se77_Oshift,0.151515152
6_21_21_F_10,Se78_Oshift,0.214141414
6_21_21_F_10,Se80_Oshift,0.18989899
6_21_21_F_10,Se..82..82.82..ppb.,0.733333333
6_21_21_F_10,Se82_Oshift,0.171717172
6_21_21_F_10,Mo_NH3,5.725252525
6_21_21_F_10,Mo_Oshift,6.337373737
6_21_21_F_10,Cd111,0.032323232
6_21_21_F_10,Cd114,0.032323232
6_21_21_F_10,Pb_STD,0.260606061
6_21_21_F_10,Pb_NH3,0.280808081
6_21_21_F_11,Na,12819.63232
6_21_21_F_11,Mg,15171.14545
6_21_21_F_11,Al,15.3979798
6_21_21_F_11,P,54.48686869
6_21_21_F_11,S,23883.03434
6_21_21_F_11,K,3298.486869
6_21_21_F_11,Ca,62146.99798
6_21_21_F_11,V,1.826262626
6_21_21_F_11,Cr_KED,0.094949495
6_21_21_F_11,Cr_NH3,0.111111111
6_21_21_F_11,Fe_NH3,14.26464646
6_21_21_F_11,Mn,15.90505051
6_21_21_F_11,Fe_KED,14.91515152
6_21_21_F_11,Co,0.065677402
6_21_21_F_11,Ni,0.363636364
6_21_21_F_11,Cu_KED,8.42020202
6_21_21_F_11,Cu_NH3,8.507070707
6_21_21_F_11,Zn,4.076767677
6_21_21_F_11,As_STD,10.28080808
6_21_21_F_11,As_KED,9.113131313
6_21_21_F_11,As_Oshift,10.4969697
6_21_21_F_11,Se..77..77.77..ppb.,0.433699895
6_21_21_F_11,Se77_Oshift,0.157575758
6_21_21_F_11,Se78_Oshift,0.163636364
6_21_21_F_11,Se80_Oshift,0.171717172
6_21_21_F_11,Se..82..82.82..ppb.,0.614141414
6_21_21_F_11,Se82_Oshift,0.202020202
6_21_21_F_11,Mo_NH3,5.525252525
6_21_21_F_11,Mo_Oshift,5.577777778
6_21_21_F_11,Cd111,0.034343434
6_21_21_F_11,Cd114,0.034343434
6_21_21_F_11,Pb_STD,0.290909091
6_21_21_F_11,Pb_NH3,0.288888889
6_21_21_W_1,Na,11305.58586
6_21_21_W_1,Mg,8934.949495
6_21_21_W_1,Al,102.0606061
6_21_21_W_1,P,49.64032951
6_21_21_W_1,S,30712.87879
6_21_21_W_1,K,3428.868687
6_21_21_W_1,Ca,50014.60606
6_21_21_W_1,V,1.434343434
6_21_21_W_1,Cr_KED,0.131217012
6_21_21_W_1,Cr_NH3,0.242424242
6_21_21_W_1,Fe_NH3,116.0707071
6_21_21_W_1,Mn,82.62626263
6_21_21_W_1,Fe_KED,116.3131313
6_21_21_W_1,Co,0.32838701
6_21_21_W_1,Ni,0.757575758
6_21_21_W_1,Cu_KED,4.951587001
6_21_21_W_1,Cu_NH3,5.087890009
6_21_21_W_1,Zn,1.666666667
6_21_21_W_1,As_STD,13.50505051
6_21_21_W_1,As_KED,10.65656566
6_21_21_W_1,As_Oshift,12.90909091
6_21_21_W_1,Se..77..77.77..ppb.,2.168499474
6_21_21_W_1,Se77_Oshift,0.278232254
6_21_21_W_1,Se78_Oshift,0.089658949
6_21_21_W_1,Se80_Oshift,0.151515152
6_21_21_W_1,Se..82..82.82..ppb.,0.481429161
6_21_21_W_1,Se82_Oshift,0.112595629
6_21_21_W_1,Mo_NH3,19.63636364
6_21_21_W_1,Mo_Oshift,18.97979798
6_21_21_W_1,Cd111,0.053180963
6_21_21_W_1,Cd114,0.039323993
6_21_21_W_1,Pb_STD,0.356150362
6_21_21_W_1,Pb_NH3,0.390131458
6_21_21_W_6,Na,14556.60606
6_21_21_W_6,Mg,10918.51515
6_21_21_W_6,Al,137.6565657
6_21_21_W_6,P,49.64032951
6_21_21_W_6,S,31746.45455
6_21_21_W_6,K,3909.838384
6_21_21_W_6,Ca,54436.67677
6_21_21_W_6,V,2.212121212
6_21_21_W_6,Cr_KED,0.131217012
6_21_21_W_6,Cr_NH3,0.252525253
6_21_21_W_6,Fe_NH3,133.6666667
6_21_21_W_6,Mn,40.17171717
6_21_21_W_6,Fe_KED,135.010101
6_21_21_W_6,Co,0.32838701
6_21_21_W_6,Ni,0.555555556
6_21_21_W_6,Cu_KED,13.76767677
6_21_21_W_6,Cu_NH3,14.03030303
6_21_21_W_6,Zn,4.878787879
6_21_21_W_6,As_STD,13.27272727
6_21_21_W_6,As_KED,13.12121212
6_21_21_W_6,As_Oshift,12.81818182
6_21_21_W_6,Se..77..77.77..ppb.,2.168499474
6_21_21_W_6,Se77_Oshift,0.278232254
6_21_21_W_6,Se78_Oshift,0.089658949
6_21_21_W_6,Se80_Oshift,0.121212121
6_21_21_W_6,Se..82..82.82..ppb.,1.171717172
6_21_21_W_6,Se82_Oshift,0.112595629
6_21_21_W_6,Mo_NH3,13.09090909
6_21_21_W_6,Mo_Oshift,12.87878788
6_21_21_W_6,Cd111,0.053180963
6_21_21_W_6,Cd114,0.039323993
6_21_21_W_6,Pb_STD,1.03030303
6_21_21_W_6,Pb_NH3,1.04040404
6_21_21_W_8,Na,16701.09091
6_21_21_W_8,Mg,11881.39394
6_21_21_W_8,Al,130.4242424
6_21_21_W_8,P,49.64032951
6_21_21_W_8,S,28364.88889
6_21_21_W_8,K,4441.060606
6_21_21_W_8,Ca,59098.23232
6_21_21_W_8,V,2.747474747
6_21_21_W_8,Cr_KED,0.343434343
6_21_21_W_8,Cr_NH3,0.363636364
6_21_21_W_8,Fe_NH3,131.1616162
6_21_21_W_8,Mn,47.14141414
6_21_21_W_8,Fe_KED,128.3636364
6_21_21_W_8,Co,0.32838701
6_21_21_W_8,Ni,0.444444444
6_21_21_W_8,Cu_KED,13.41414141
6_21_21_W_8,Cu_NH3,13.90909091
6_21_21_W_8,Zn,5.575757576
6_21_21_W_8,As_STD,12.67676768
6_21_21_W_8,As_KED,10.5959596
6_21_21_W_8,As_Oshift,12.84848485
6_21_21_W_8,Se..77..77.77..ppb.,2.168499474
6_21_21_W_8,Se77_Oshift,0.278232254
6_21_21_W_8,Se78_Oshift,0.089658949
6_21_21_W_8,Se80_Oshift,0.054204449
6_21_21_W_8,Se..82..82.82..ppb.,0.481429161
6_21_21_W_8,Se82_Oshift,0.112595629
6_21_21_W_8,Mo_NH3,11.62626263
6_21_21_W_8,Mo_Oshift,11.47474747
6_21_21_W_8,Cd111,0.053180963
6_21_21_W_8,Cd114,0.039323993
6_21_21_W_8,Pb_STD,1.070707071
6_21_21_W_8,Pb_NH3,1.262626263
6_21_21_W_9,Na,12936.18182
6_21_21_W_9,Mg,11516.74747
6_21_21_W_9,Al,188.4646465
6_21_21_W_9,P,49.64032951
6_21_21_W_9,S,23997.35354
6_21_21_W_9,K,3626.515152
6_21_21_W_9,Ca,52640.61616
6_21_21_W_9,V,2.222222222
6_21_21_W_9,Cr_KED,0.131217012
6_21_21_W_9,Cr_NH3,0.252525253
6_21_21_W_9,Fe_NH3,156.6363636
6_21_21_W_9,Mn,38.77777778
6_21_21_W_9,Fe_KED,155.4343434
6_21_21_W_9,Co,0.32838701
6_21_21_W_9,Ni,0.424242424
6_21_21_W_9,Cu_KED,12.21212121
6_21_21_W_9,Cu_NH3,12.37373737
6_21_21_W_9,Zn,4.909090909
6_21_21_W_9,As_STD,9.282828283
6_21_21_W_9,As_KED,7.474747475
6_21_21_W_9,As_Oshift,9.939393939
6_21_21_W_9,Se..77..77.77..ppb.,2.168499474
6_21_21_W_9,Se77_Oshift,0.278232254
6_21_21_W_9,Se78_Oshift,0.089658949
6_21_21_W_9,Se80_Oshift,0.054204449
6_21_21_W_9,Se..82..82.82..ppb.,0.481429161
6_21_21_W_9,Se82_Oshift,0.112595629
6_21_21_W_9,Mo_NH3,6.707070707
6_21_21_W_9,Mo_Oshift,7.121212121
6_21_21_W_9,Cd111,0.053180963
6_21_21_W_9,Cd114,0.039323993
6_21_21_W_9,Pb_STD,0.96969697
6_21_21_W_9,Pb_NH3,1.03030303
6_21_21_W_10,Na,15212.48485
6_21_21_W_10,Mg,15734.23232
6_21_21_W_10,Al,193.010101
6_21_21_W_10,P,49.64032951
6_21_21_W_10,S,37362.90909
6_21_21_W_10,K,4523.383838
6_21_21_W_10,Ca,71500.29293
6_21_21_W_10,V,2.767676768
6_21_21_W_10,Cr_KED,0.303030303
6_21_21_W_10,Cr_NH3,0.292929293
6_21_21_W_10,Fe_NH3,127.5959596
6_21_21_W_10,Mn,29.68686869
6_21_21_W_10,Fe_KED,141.5555556
6_21_21_W_10,Co,0.32838701
6_21_21_W_10,Ni,0.474747475
6_21_21_W_10,Cu_KED,18.49494949
6_21_21_W_10,Cu_NH3,16.85858586
6_21_21_W_10,Zn,7.707070707
6_21_21_W_10,As_STD,10.36363636
6_21_21_W_10,As_KED,9.828282828
6_21_21_W_10,As_Oshift,10.23232323
6_21_21_W_10,Se..77..77.77..ppb.,2.168499474
6_21_21_W_10,Se77_Oshift,0.278232254
6_21_21_W_10,Se78_Oshift,0.089658949
6_21_21_W_10,Se80_Oshift,0.171717172
6_21_21_W_10,Se..82..82.82..ppb.,0.481429161
6_21_21_W_10,Se82_Oshift,0.112595629
6_21_21_W_10,Mo_NH3,5.626262626
6_21_21_W_10,Mo_Oshift,5.636363636
6_21_21_W_10,Cd111,0.053180963
6_21_21_W_10,Cd114,0.039323993
6_21_21_W_10,Pb_STD,0.858585859
6_21_21_W_10,Pb_NH3,0.838383838
6_21_21_W_11,Na,13365.16162
6_21_21_W_11,Mg,15060.20202
6_21_21_W_11,Al,164.3030303
6_21_21_W_11,P,49.64032951
6_21_21_W_11,S,28043.24242
6_21_21_W_11,K,3960.545455
6_21_21_W_11,Ca,62887.47475
6_21_21_W_11,V,2.676767677
6_21_21_W_11,Cr_KED,0.131217012
6_21_21_W_11,Cr_NH3,0.11823354
6_21_21_W_11,Fe_NH3,120.6666667
6_21_21_W_11,Mn,30.63636364
6_21_21_W_11,Fe_KED,121.969697
6_21_21_W_11,Co,0.32838701
6_21_21_W_11,Ni,0.525252525
6_21_21_W_11,Cu_KED,10.72727273
6_21_21_W_11,Cu_NH3,10.68686869
6_21_21_W_11,Zn,5.919191919
6_21_21_W_11,As_STD,10.37373737
6_21_21_W_11,As_KED,10.14141414
6_21_21_W_11,As_Oshift,10.56565657
6_21_21_W_11,Se..77..77.77..ppb.,2.168499474
6_21_21_W_11,Se77_Oshift,0.278232254
6_21_21_W_11,Se78_Oshift,0.089658949
6_21_21_W_11,Se80_Oshift,0.054204449
6_21_21_W_11,Se..82..82.82..ppb.,0.481429161
6_21_21_W_11,Se82_Oshift,0.112595629
6_21_21_W_11,Mo_NH3,5.363636364
6_21_21_W_11,Mo_Oshift,5.373737374
6_21_21_W_11,Cd111,0.053180963
6_21_21_W_11,Cd114,0.039323993
6_21_21_W_11,Pb_STD,0.858585859
6_21_21_W_11,Pb_NH3,0.898989899
7_06_21_UF_1,Na,18173.17576
7_06_21_UF_1,Mg,12875.14343
7_06_21_UF_1,Al,13.67070707
7_06_21_UF_1,P,56.08888889
7_06_21_UF_1,S,38950.88081
7_06_21_UF_1,K,3772.167677
7_06_21_UF_1,Ca,69916.86869
7_06_21_UF_1,V,0.975757576
7_06_21_UF_1,Cr_KED,0.123232323
7_06_21_UF_1,Cr_NH3,0.125252525
7_06_21_UF_1,Fe_NH3,1.218874063
7_06_21_UF_1,Mn,44.32525253
7_06_21_UF_1,Fe_KED,1.364188275
7_06_21_UF_1,Co,0.065677402
7_06_21_UF_1,Ni,0.737373737
7_06_21_UF_1,Cu_KED,7.705050505
7_06_21_UF_1,Cu_NH3,7.715151515
7_06_21_UF_1,Zn,3.939393939
7_06_21_UF_1,As_STD,10.51111111
7_06_21_UF_1,As_KED,9.256565657
7_06_21_UF_1,As_Oshift,10.82020202
7_06_21_UF_1,Se..77..77.77..ppb.,0.433699895
7_06_21_UF_1,Se77_Oshift,0.055646451
7_06_21_UF_1,Se78_Oshift,0.072727273
