"","Sample.Id","Na","Mg","Al","P","S","K","Ca","V","Cr_KED","Cr_NH3","Fe_NH3","Mn","Fe_KED","Co","Ni","Cu_KED","Cu_NH3","Zn","As_STD","As_KED","As_Oshift","Se..77..77.77..ppb.","Se77_Oshift","Se78_Oshift","Se80_Oshift","Se..82..82.82..ppb.","Se82_Oshift","Mo_NH3","Mo_Oshift","Cd111","Cd114","Pb_STD","Pb_NH3"
"268","LFB",9262.485,9471.64,9.063,10.738,9258.761,9226.077,9558.039,9.562,9.423,9.592,9.49,9.654,9.161,9.339,9.321,9.426,9.454,9.501,9.585,10.467,9.914,9.634,10.252,9.839,9.803,9.666,10.234,9.675,9.766,9.784,9.84,9.44,9.601
"2111","LFB",10631.035,10937.22,10.705,11.531,10903.339,10615.197,10398.42,10.774,11.337,9.979,9.552,9.994,10.685,10.999,10.586,10.824,9.914,10.09,9.905,11.207,9.962,10.339,10.142,10.13,9.955,10.451,10.518,9.708,9.794,9.669,9.555,9.144,9.426
"462","9_13_21_FB",236.682,43.708,14.476,0.6,637.734,126.73,270.186,0.015,0.075,0.081,0.766,0.306,1.179,0.005,0.048,0.215,0.256,18.656,0.017,0.057,0.049,0.075,0.016,0.008,0.007,0.002,-0.013,0.096,0.105,0.01,0.007,0.089,0.092
"472","5_18_23_MFB",4836.235,5082.038,4.639,8.58,5184.044,4837.128,4882.119,4.93,5.264,5.2,4.613,5.065,4.685,5.037,5,5.12,5.161,4.859,4.389,5.008,4.881,4.404,5.128,4.897,4.945,4.584,5.171,4.817,4.873,4.833,4.848,4.658,5.036
"552","LFB",9318.233,9688.463,9.736,11.439,10212.812,9450.107,9627.478,9.624,10.03,9.82,9.689,9.848,9.376,9.828,9.545,9.851,9.823,9.719,9.522,10.035,9.838,10.37,10.479,9.859,9.986,10.113,9.856,9.568,9.801,9.496,9.469,9.432,9.622
"582","5_18_23_MFB",4976.516,5147.487,4.991,8.543,5454.665,4914.506,5048.872,5.06,5.276,5.629,5.309,5.146,4.97,5.269,5.126,5.25,5.575,5.242,4.739,5.171,4.959,4.933,4.776,4.913,4.819,5.069,5.013,5.237,4.937,5.168,5.192,4.949,4.855
"862","LFB",9466.654,9904.833,9.477,11.944,10401.544,9535.891,9640.566,9.591,10.078,10.063,9.793,9.95,9.266,9.741,9.437,9.702,9.829,9.773,9.801,10.032,9.739,10.624,9.898,9.917,9.983,10.321,9.944,9.526,9.809,9.4,9.46,9.772,9.635
"1032","10_1_21_FB",248.281,1.27,4.348,0.324,485.977,63.786,52.528,0.002,0.047,0.057,0.477,0.041,0.658,-0.005,0.053,0.229,0.234,4.14,-0.031,0.004,0.006,0.091,0.012,0.005,-0.006,-0.016,-0.021,-0.001,0.008,0.001,-0.002,0.019,0.024
"1162","LFB",8856.551,9233.412,9.028,11.503,10225.715,8971.617,9523.136,9.416,9.845,10.014,9.684,9.763,8.711,9.404,9.3,9.561,9.77,9.81,9.094,9.608,9.681,10.037,9.486,9.629,9.936,9.618,9.876,9.65,9.854,9.539,9.584,9.466,10.034
"1172","LFB",8924.974,9503.929,9.165,11.566,10370.332,9199.315,9709.237,9.565,10.068,10.037,9.768,9.865,8.755,9.675,9.395,9.684,9.915,9.794,9.283,9.528,9.862,10.271,9.967,10.191,10.065,9.832,10.303,9.651,9.894,9.545,9.61,9.692,9.943
