"","Sample.Id","Na","Mg","Al","P","S","K","Ca","V","Cr_KED","Cr_NH3","Fe_NH3","Mn","Fe_KED","Co","Ni","Cu_KED","Cu_NH3","Zn","As_STD","As_KED","As_Oshift","Se..77..77.77..ppb.","Se77_Oshift","Se78_Oshift","Se80_Oshift","Se..82..82.82..ppb.","Se82_Oshift","Mo_NH3","Mo_Oshift","Cd111","Cd114","Pb_STD","Pb_NH3"
"2251","5_18_23_DB",56.141,0.236,-0.581,3.924,489.065,57.477,43.803,-0.001,-0.005,0,-0.466,0.004,-0.194,-0.007,0.005,0.058,0.062,-0.097,-0.032,0.003,-0.004,-0.024,0.006,0.013,-0.006,-0.036,-0.021,-0.006,0.002,0.001,-0.002,0.008,0.016
"67","T-239",56365.39,14677.149,130.837,16.823,2137.524,4160.107,54156.182,2.207,1.575,1.418,40.884,3.739,43.977,1.568,1.931,1.913,1.833,5.744,2.402,2.009,2.368,4.668,2.102,1.866,1.827,2.113,1.675,1.075,1.086,3.276,3.224,1.109,1.146
"1201","T-239",51612.48,13558.702,107.354,10.855,1009.236,4082.602,51231.181,2.028,1.35,1.304,40.206,3.567,43.384,1.473,1.777,0.635,0.596,5.426,2.34,2.177,2.276,4.688,1.901,1.808,1.86,2.227,1.97,1.032,1.035,3.202,3.113,1.154,1.183
"1221","T-239",47404.434,12302.606,101.769,9.976,725.697,3706.228,50344.552,1.897,1.369,1.348,41.061,3.931,40.661,1.347,1.664,0.671,0.655,5.717,2.378,2.096,2.464,4.946,2.022,1.987,2.024,2.259,2.039,1.065,1.162,3.312,3.247,1.154,1.213
"781","5_10_23_T-239",51632.551,13752.564,122.985,14.238,1319.959,4101.906,54941.225,2.098,1.51,1.454,45.145,4.037,47.326,1.597,1.835,0.82,0.848,6.157,2.449,2.176,2.545,4.809,2.012,2.002,2.071,2.324,2.122,1.155,1.185,3.474,3.39,1.203,1.27
"1262","5_10_23_T-239",48745.812,12605.458,110.686,12.915,1174.371,3746.08,54176.498,2.022,1.453,1.489,44.152,4.082,45.902,1.527,1.815,0.757,0.824,6.053,2.67,2.041,2.517,5.392,2.13,1.908,2.116,2.569,2.203,1.155,1.186,3.433,3.463,1.353,1.299
"492","5_18_23_T_239",46409.233,13062.629,115.987,12.282,1173.244,3943.083,49867.543,1.919,1.454,1.475,43.295,3.69,41.801,1.426,1.713,0.774,0.854,6.094,2.504,2.233,2.447,5.416,2.077,1.97,1.903,2.307,1.968,1.093,1.105,3.375,3.318,1.404,1.265
"502","5_18_23_T_239",48071.26,13505.381,121.15,12.896,1362.176,4062.05,53018.523,2.013,1.602,1.448,42.603,3.622,44.108,1.502,1.812,0.856,0.875,6.051,2.434,2.427,2.371,4.918,1.901,1.799,1.899,2.109,1.938,1.114,1.097,3.357,3.266,1.291,1.236
"1082","5_18_23_T_239",43818.697,12401.954,112.56,12.189,1049.091,3786.427,50300.461,1.882,1.404,1.478,42.543,3.619,39.753,1.363,1.598,0.751,0.847,5.922,2.244,2.153,2.35,5.183,1.876,1.911,1.864,2.109,1.765,1.101,1.077,3.244,3.206,1.343,1.279
"1092","5_18_23_T_239",43638.523,12318.097,114.446,11.713,1252.488,3804.265,50684.164,1.886,1.428,1.422,41.815,3.451,39.8,1.353,1.709,0.748,0.833,5.76,2.278,2.147,2.222,5.041,1.68,1.819,1.758,2.114,1.806,1.096,1.036,3.223,3.183,1.348,1.305
"1102","5_18_23_T_239",4013.351,652.681,7.873,16.841,1351.56,524.874,3247.715,1.028,0.029,0.037,-0.295,5.436,-0.051,0.009,0.05,0.052,0.071,0.593,0.206,0.033,0.053,0.265,0.019,0.019,0.013,0.827,0.018,0.237,0.198,0.004,0,0.008,0.014
"512","5_18_23_M_224",4052.025,642.919,7.396,17.072,916.498,519.102,2963.334,1.023,0.031,0.032,-0.312,5.513,-0.091,0.007,0.051,0.065,0.063,0.695,0.235,0.041,0.059,0.233,0.068,0.019,0.017,0.762,0.036,0.242,0.207,0.003,0.001,0.009,0.012
"1112","5_18_23_M_224",4417.085,4583.864,4.334,9.426,5249.387,4611.007,4862.572,4.813,4.976,5.129,4.742,5.042,4.437,4.856,4.676,4.938,5.063,4.912,4.923,4.764,4.819,5.973,5.051,4.585,4.778,5.345,5.013,4.809,4.942,4.763,4.786,5.999,5.248
"258","8_30_21_BB",29.16,14.603,2.945,0.002,329.119,47.472,72.94,0.005,0.025,0.021,0.737,0.012,0.951,0.001,0.007,0.105,0.094,0.006,0.074,0.033,0.012,0.086,-0.053,0.016,0.006,0.015,-0.042,0.004,0.005,0.001,-0.001,0.034,0.036
"452","9_13_21_BB",56.62,0.236,0.095,-0.631,229.603,62.868,45.752,0.001,0.007,0.016,-0.364,0.003,-0.213,-0.007,0.007,0.122,0.123,-0.043,0.057,0.005,0.013,-0.134,0.006,0.003,-0.006,-0.035,-0.017,-0.006,0.003,0.001,-0.001,0.019,0.025
"1022","10_1_21_BB",55.155,1.224,-0.253,-0.617,692.004,58.17,43.411,0,0.012,0.025,0.08,0.005,0.323,-0.006,0.003,0.08,0.081,-0.031,0.023,0.007,0.006,-0.076,0.011,0.007,-0.009,-0.009,-0.016,-0.005,0.004,0.001,-0.002,0.02,0.026
"2041","10_15_21_BB",56.122,1.531,-0.366,-0.728,443.641,59.176,44.666,0,0.014,0.019,-0.353,0.003,-0.234,-0.006,0.012,0.075,0.086,-0.061,0.003,0.007,0.001,0.109,0.013,0.005,-0.007,0.002,-0.021,-0.008,0.003,0.001,-0.002,0.013,0.019
"2051","10_15_21_BB",56.137,0.236,-0.198,-0.728,487.644,56.437,46.561,-0.001,0.013,0.02,-0.342,0.004,-0.166,-0.008,0.005,0.084,0.083,-0.062,0.014,-0.011,-0.001,0,0.006,0.007,-0.006,-0.022,-0.015,-0.006,0.003,0.001,-0.002,0.013,0.019
"24","LFB",2515.399,2530.65,6.116,2.208,2926.697,2509.185,2624.451,2.662,2.646,2.375,2.323,2.454,2.603,2.678,2.729,2.571,2.436,2.191,2.918,2.804,2.412,3.307,2.533,2.5,2.498,3.284,2.184,2.49,2.442,2.468,2.474,3.05,2.35
"25","LFB",2221.169,2292.789,5.538,2.003,2505.233,2124.819,2117.767,2.285,2.282,2.464,2.339,2.402,2.122,2.251,2.454,2.192,2.472,2.239,2.379,2.084,2.372,2.282,2.244,2.45,2.455,2.646,2.394,2.553,2.394,2.557,2.56,2.393,2.121
