,DAY,MONTH,YEAR,DATE,FRACTION,SITE,Element,Concentration
85,6,21,2021,6/21/2021,UF,8,As_STD,10.9959596
86,6,21,2021,6/21/2021,UF,8,As_KED,10.48484848
87,6,21,2021,6/21/2021,UF,8,As_Oshift,11.07878788
88,6,21,2021,6/21/2021,UF,8,Se..77..77.77..ppb.,0.426625595
89,6,21,2021,6/21/2021,UF,8,Se77_Oshift,0.05784852
90,6,21,2021,6/21/2021,UF,8,Se78_Oshift,0.078787879
91,6,21,2021,6/21/2021,UF,8,Se80_Oshift,0.129292929
92,6,21,2021,6/21/2021,UF,8,Se..82..82.82..ppb.,0.571717172
93,6,21,2021,6/21/2021,UF,8,Se82_Oshift,0.167676768
94,6,21,2021,6/21/2021,UF,8,Mo_NH3,11.22626263
95,6,21,2021,6/21/2021,UF,8,Mo_Oshift,10.84242424
96,6,21,2021,6/21/2021,UF,8,Cd111,0.032323232
97,6,21,2021,6/21/2021,UF,8,Cd114,0.028282828
98,6,21,2021,6/21/2021,UF,8,Pb_STD,0.157575758
99,6,21,2021,6/21/2021,UF,8,Pb_NH3,0.161616162
100,6,21,2021,6/21/2021,UF,9,Na,13682.72121
101,6,21,2021,6/21/2021,UF,9,Mg,11002.19798
102,6,21,2021,6/21/2021,UF,9,Al,2.854545455
103,6,21,2021,6/21/2021,UF,9,P,45.17373737
104,6,21,2021,6/21/2021,UF,9,S,16282.6
105,6,21,2021,6/21/2021,UF,9,K,2706.646465
106,6,21,2021,6/21/2021,UF,9,Ca,47860.89293
107,6,21,2021,6/21/2021,UF,9,V,1.503030303
108,6,21,2021,6/21/2021,UF,9,Cr_KED,0.082828283
109,6,21,2021,6/21/2021,UF,9,Cr_NH3,0.076767677
110,6,21,2021,6/21/2021,UF,9,Fe_NH3,1.278561108
111,6,21,2021,6/21/2021,UF,9,Mn,18.95555556
112,6,21,2021,6/21/2021,UF,9,Fe_KED,1.423266507
113,6,21,2021,6/21/2021,UF,9,Co,0.068271155
114,6,21,2021,6/21/2021,UF,9,Ni,0.37979798
115,6,21,2021,6/21/2021,UF,9,Cu_KED,4.61010101
116,6,21,2021,6/21/2021,UF,9,Cu_NH3,4.648484848
117,6,21,2021,6/21/2021,UF,9,Zn,1.717171717
118,6,21,2021,6/21/2021,UF,9,As_STD,8.092929293
119,6,21,2021,6/21/2021,UF,9,As_KED,7.642424242
120,6,21,2021,6/21/2021,UF,9,As_Oshift,7.991919192
121,6,21,2021,6/21/2021,UF,9,Se..77..77.77..ppb.,0.426625595
122,6,21,2021,6/21/2021,UF,9,Se77_Oshift,0.05784852
123,6,21,2021,6/21/2021,UF,9,Se78_Oshift,0.127272727
124,6,21,2021,6/21/2021,UF,9,Se80_Oshift,0.096969697
125,6,21,2021,6/21/2021,UF,9,Se..82..82.82..ppb.,0.496969697
126,6,21,2021,6/21/2021,UF,9,Se82_Oshift,0.084848485
127,6,21,2021,6/21/2021,UF,9,Mo_NH3,6.276767677
128,6,21,2021,6/21/2021,UF,9,Mo_Oshift,6.072727273
129,6,21,2021,6/21/2021,UF,9,Cd111,0.022222222
130,6,21,2021,6/21/2021,UF,9,Cd114,0.026262626
131,6,21,2021,6/21/2021,UF,9,Pb_STD,0.16969697
132,6,21,2021,6/21/2021,UF,9,Pb_NH3,0.167676768
133,6,21,2021,6/21/2021,UF,10,Na,14866.82626
134,6,21,2021,6/21/2021,UF,10,Mg,14117.81212
135,6,21,2021,6/21/2021,UF,10,Al,0.944618171
136,6,21,2021,6/21/2021,UF,10,P,49.57575758
137,6,21,2021,6/21/2021,UF,10,S,22822.15758
138,6,21,2021,6/21/2021,UF,10,K,3265.579798
139,6,21,2021,6/21/2021,UF,10,Ca,59987.40606
140,6,21,2021,6/21/2021,UF,10,V,1.915151515
141,6,21,2021,6/21/2021,UF,10,Cr_KED,0.133333333
142,6,21,2021,6/21/2021,UF,10,Cr_NH3,0.098989899
143,6,21,2021,6/21/2021,UF,10,Fe_NH3,1.278561108
144,6,21,2021,6/21/2021,UF,10,Mn,16.25656566
145,6,21,2021,6/21/2021,UF,10,Fe_KED,1.423266507
146,6,21,2021,6/21/2021,UF,10,Co,0.068271155
147,6,21,2021,6/21/2021,UF,10,Ni,0.480808081
148,6,21,2021,6/21/2021,UF,10,Cu_KED,4.696969697
149,6,21,2021,6/21/2021,UF,10,Cu_NH3,4.727272727
150,6,21,2021,6/21/2021,UF,10,Zn,1.034343434
151,6,21,2021,6/21/2021,UF,10,As_STD,9.109090909
152,6,21,2021,6/21/2021,UF,10,As_KED,7.75959596
153,6,21,2021,6/21/2021,UF,10,As_Oshift,9.171717172
154,6,21,2021,6/21/2021,UF,10,Se..77..77.77..ppb.,0.426625595
155,6,21,2021,6/21/2021,UF,10,Se77_Oshift,0.05784852
156,6,21,2021,6/21/2021,UF,10,Se78_Oshift,0.197979798
157,6,21,2021,6/21/2021,UF,10,Se80_Oshift,0.137373737
158,6,21,2021,6/21/2021,UF,10,Se..82..82.82..ppb.,0.547474747
159,6,21,2021,6/21/2021,UF,10,Se82_Oshift,0.125252525
160,6,21,2021,6/21/2021,UF,10,Mo_NH3,5.551515152
161,6,21,2021,6/21/2021,UF,10,Mo_Oshift,5.341414141
162,6,21,2021,6/21/2021,UF,10,Cd111,0.026262626
163,6,21,2021,6/21/2021,UF,10,Cd114,0.028282828
164,6,21,2021,6/21/2021,UF,10,Pb_STD,0.151515152
165,6,21,2021,6/21/2021,UF,10,Pb_NH3,0.15959596
166,6,21,2021,6/21/2021,UF,11,Na,14386.38182
167,6,21,2021,6/21/2021,UF,11,Mg,14490.09697
168,6,21,2021,6/21/2021,UF,11,Al,8.044444444
169,6,21,2021,6/21/2021,UF,11,P,49.37575758
170,6,21,2021,6/21/2021,UF,11,S,21155.73131
171,6,21,2021,6/21/2021,UF,11,K,3173.789899
172,6,21,2021,6/21/2021,UF,11,Ca,58558.30505
173,6,21,2021,6/21/2021,UF,11,V,1.747474747
174,6,21,2021,6/21/2021,UF,11,Cr_KED,0.098989899
175,6,21,2021,6/21/2021,UF,11,Cr_NH3,0.092929293
176,6,21,2021,6/21/2021,UF,11,Fe_NH3,1.278561108
177,6,21,2021,6/21/2021,UF,11,Mn,13.58383838
178,6,21,2021,6/21/2021,UF,11,Fe_KED,1.423266507
179,6,21,2021,6/21/2021,UF,11,Co,0.068271155
180,6,21,2021,6/21/2021,UF,11,Ni,0.282828283
181,6,21,2021,6/21/2021,UF,11,Cu_KED,4.513131313
182,6,21,2021,6/21/2021,UF,11,Cu_NH3,4.674747475
183,6,21,2021,6/21/2021,UF,11,Zn,1.177777778
184,6,21,2021,6/21/2021,UF,11,As_STD,9.014141414
185,6,21,2021,6/21/2021,UF,11,As_KED,8.397979798
