,site,date,UF_Na,UF_Mg,UF_Al,UF_P,UF_S,UF_K,UF_Ca,UF_V,UF_Cr_KED,UF_Cr_NH3,UF_Fe_NH3,UF_Mn,UF_Fe_KED,UF_Co,UF_Ni,UF_Cu_KED,UF_Cu_NH3,UF_Zn,UF_As_STD,UF_As_KED,UF_As_Oshift,UF_Se..77..77.77..ppb.,UF_Se77_Oshift,UF_Se78_Oshift,UF_Se80_Oshift,UF_Se..82..82.82..ppb.,UF_Se82_Oshift,UF_Mo_NH3,UF_Mo_Oshift,UF_Cd111,UF_Cd114,UF_Pb_STD,UF_Pb_NH3,F_Na,F_Mg,F_Al,F_P,F_S,F_K,F_Ca,F_V,F_Cr_KED,F_Cr_NH3,F_Fe_NH3,F_Mn,F_Fe_KED,F_Co,F_Ni,F_Cu_KED,F_Cu_NH3,F_Zn,F_As_STD,F_As_KED,F_As_Oshift,F_Se..77..77.77..ppb.,F_Se77_Oshift,F_Se78_Oshift,F_Se80_Oshift,F_Se..82..82.82..ppb.,F_Se82_Oshift,F_Mo_NH3,F_Mo_Oshift,F_Cd111,F_Cd114,F_Pb_STD,F_Pb_NH3,W_Na,W_Mg,W_Al,W_P,W_S,W_K,W_Ca,W_V,W_Cr_KED,W_Cr_NH3,W_Fe_NH3,W_Mn,W_Fe_KED,W_Co,W_Ni,W_Cu_KED,W_Cu_NH3,W_Zn,W_As_STD,W_As_KED,W_As_Oshift,W_Se..77..77.77..ppb.,W_Se77_Oshift,W_Se78_Oshift,W_Se80_Oshift,W_Se..82..82.82..ppb.,W_Se82_Oshift,W_Mo_NH3,W_Mo_Oshift,W_Cd111,W_Cd114,W_Pb_STD,W_Pb_NH3
11,DL,7/6/2021,16744.12323,16564.44646,2.404040404,9.928065902,27672.14545,3926.220202,68361.02222,2.137373737,0.111111111,0.105050505,1.218874063,11.45454545,1.364188275,0.065677402,0.361616162,3.153535354,3.16969697,1.602020202,11.11313131,9.8,11.23030303,0.433699895,0.157575758,0.177777778,0.171717172,0.836363636,0.15959596,4.983838384,5.066666667,0.03030303,0.03030303,0.232323232,0.260606061,14976.88283,16923.11111,11.61414141,41.20808081,28916.53939,4029.393939,72368.25657,2.02020202,0.123232323,0.2,14.01212121,13.02626263,11.94747475,0.065677402,0.424242424,6.535353535,8.139393939,3.395959596,11.94141414,11.11919192,11.91919192,0.433699895,0.193939394,0.16969697,0.195959596,0.923232323,0.151515152,6.723232323,5.288888889,0.038383838,0.032323232,0.694949495,0.741414141,13113.31313,15756.30303,114.3434343,49.64032951,25375.74747,3838.828283,63268.9798,1.686868687,1.050505051,1.02020202,100.1010101,47.5959596,97.22222222,0.32838701,0.393939394,4.951587001,5.087890009,4.646464646,10.91919192,6.98989899,9.777777778,2.168499474,0.278232254,0.202020202,0.252525253,1.98989899,0.272727273,4.191919192,4.04040404,0.053180963,0.039323993,0.356150362,0.390131458
12,GR,7/6/2021,16048.53535,16479.36566,2.428282828,9.928065902,28163.91111,3877.694949,67033.42424,2.048484848,0.141414141,0.135353535,1.218874063,3.531313131,1.364188275,0.065677402,0.337373737,3.698989899,3.729292929,1.335353535,12.47272727,9.422222222,10.91515152,0.909090909,0.055646451,0.129292929,0.171717172,0.797979798,0.208080808,5.343434343,5.212121212,0.026262626,0.026262626,0.305050505,0.280808081,14425.59394,16983.94343,8.321212121,33.77979798,29001.22828,3851.115152,67915.14141,2.02020202,0.111111111,0.125252525,7.96969697,4.331313131,8.725252525,0.065677402,0.351515152,6.448484848,6.448484848,2.149494949,11.29090909,10.48080808,11.51919192,0.433699895,0.145454545,0.161616162,0.177777778,0.812121212,0.185858586,5.604040404,5.375757576,0.026262626,0.03030303,0.395959596,0.424242424,12897.37374,16971.11111,34.64646465,49.64032951,28068.10101,3928.949495,64551.13131,1.313131313,0.363636364,0.313131313,25.04040404,14.88888889,25.39393939,0.32838701,0.404040404,4.951587001,5.087890009,1.242424242,10.32323232,7.333333333,9.909090909,2.168499474,0.278232254,0.303030303,0.252525253,0.481429161,0.323232323,3.929292929,4.04040404,0.053180963,0.039323993,0.356150362,0.390131458
13,WS,8/2/2021,11116.5899,11142.21414,3.086868687,9.928065902,24907.78182,2461.634343,57413.05455,0.8,0.125252525,0.119191919,1.218874063,30.68282828,1.364188275,0.065677402,0.484848485,0.9903174,1.017578002,2.933333333,8.745454545,7.525252525,8.848484848,0.433699895,0.055646451,0.101010101,0.096969697,0.614141414,0.070707071,10.50707071,10.6989899,0.010636193,0.007864799,0.071230072,0.078026292,9682.418182,12312.47475,5.713131313,9.928065902,28903.95152,2497.991919,62224.02626,0.771717172,0.105050505,0.096969697,13.21010101,34.15959596,14.02222222,0.065677402,0.595959596,2.525252525,2.537373737,3.868686869,9.244444444,7.983838384,9.97979798,0.433699895,0.055646451,0.131313131,0.115151515,0.658585859,0.147474747,12.07878788,12.25050505,0.010636193,0.016161616,0.071230072,0.078026292,9716,12109.38384,83.3030303,49.64032951,33960.9899,2816.151515,61562.56566,0.565432465,0.363636364,0.323232323,80.53535354,52.29292929,82.92929293,0.32838701,1,4.951587001,5.087890009,1.404040404,10.52525253,7.767676768,10.64646465,2.168499474,0.278232254,0.089658949,0.171717172,0.481429161,0.112595629,11.7979798,12.13131313,0.053180963,0.039323993,0.356150362,0.390131458
14,GC,8/2/2021,21562.75354,14127.48687,0.906263092,9.928065902,24575.81414,4233.341414,70691.31717,2.038383838,0.202020202,0.181818182,1.218874063,27.82626263,1.364188275,0.065677402,0.424242424,4.351515152,4.416161616,4.624242424,11.72121212,9.743434343,12.3959596,0.433699895,0.181818182,0.224242424,0.238383838,0.808080808,0.234343434,6.977777778,7.024242424,0.036363636,0.032323232,0.071230072,0.078026292,19940.13333,15110.05051,3.832323232,9.928065902,27636.07071,4504.446465,75944.19394,1.995959596,0.84040404,0.878787879,20.77373737,27.72929293,21.15555556,0.065677402,0.545454545,8.141414141,8.256565657,7.066666667,12.55555556,11.16767677,12.03434343,0.433699895,0.23030303,0.238383838,0.2,1.048484848,0.286868687,7.434343434,6.882828283,0.04040404,0.036363636,0.191919192,0.191919192,19764.15152,14562.50505,145.4444444,49.64032951,31793.06061,5048.050505,76458.18182,2.383838384,0.555555556,0.505050505,157.6767677,63.17171717,164.8989899,0.32838701,0.494949495,16.06060606,15.27272727,10.19191919,13.61616162,12.61616162,13.93939394,2.168499474,0.278232254,0.242424242,0.252525253,1.050505051,0.373737374,7.393939394,7.313131313,0.053180963,0.039323993,1.303030303,1.323232323
15,BG,8/2/2021,23260.70101,14256.59394,0.906263092,9.928065902,21476.12121,4778.044444,65801.51313,2.757575758,0.343434343,0.309090909,1.218874063,27.83030303,2.783838384,0.065677402,0.371717172,4.296969697,4.296969697,1.892929293,13.12727273,11.75151515,13.81818182,0.433699895,0.125252525,0.238383838,0.254545455,1.080808081,0.208080808,5.763636364,5.862626263,0.026262626,0.022222222,0.071230072,0.078026292,23231.42828,15141.89697,5.757575758,9.928065902,23788.54747,5332.012121,72763.4101,2.854545455,0.256565657,0.264646465,12.40808081,29.94545455,13.6040404,0.065677402,0.43030303,8.763636364,8.541414141,4.474747475,14.16161616,12.86464646,14.1030303,0.876767677,0.131313131,0.258585859,0.193939394,1.218181818,0.195959596,6.484848485,6.268686869,0.024242424,0.026262626,0.197979798,0.206060606,21989.77778,14374.65657,75.26262626,49.64032951,26900.66667,4570.89899,70946.9697,2.868686869,0.767676768,0.777777778,111.1313131,78.50505051,107.7878788,0.32838701,0.575757576,13.09090909,13.37373737,5.838383838,15.37373737,12.61616162,15.49494949,2.168499474,0.278232254,0.373737374,0.313131313,0.98989899,0.292929293,6.454545455,6.171717172,0.053180963,0.039323993,0.717171717,0.390131458
16,BN,8/2/2021,17068.09697,12880.85051,0.906263092,9.928065902,17352.43838,3711.888889,56660.12323,1.941414141,0.177777778,0.149494949,1.218874063,13.54141414,1.364188275,0.065677402,0.341414141,2.967676768,2.995959596,1.555555556,9.345454545,7.856565657,9.721212121,0.433699895,0.137373737,0.181818182,0.16969697,0.656565657,0.212121212,3.985858586,4.03030303,0.010636193,0.018181818,0.071230072,0.078026292,15627.8303,13631.9596,4.694949495,9.928065902,19760.43232,4091.333333,63002.44242,2.096969697,0.276767677,0.24040404,10.76969697,15.84444444,11.81010101,0.065677402,0.395959596,6.812121212,6.442424242,3.032323232,10.16969697,9.101010101,10.68080808,0.433699895,0.055646451,0.15959596,0.173737374,0.707070707,0.173737374,4.531313131,4.587878788,0.024242424,0.026262626,0.428282828,0.450505051,15125.71717,12944.54545,68.28282828,49.64032951,21639.77778,3613.343434,62324.81818,1.919191919,0.272727273,0.292929293,80.44444444,49.23232323,82.2020202,0.32838701,0.535353535,4.951587001,5.087890009,3.03030303,10.64646465,8.858585859,10.6969697,2.168499474,0.278232254,0.232323232,0.161616162,0.481429161,0.112595629,4.373737374,4.393939394,0.053180963,0.039323993,0.356150362,0.390131458
17,DL,8/2/2021,19390.84848,19972.0404,0.906263092,21.01010101,33567.48485,4735.870707,80828.99192,2.111111111,0.143434343,0.111111111,1.218874063,11.88888889,1.364188275,0.065677402,0.43030303,2.927272727,2.680808081,1.939393939,11.14747475,10.61818182,11.36565657,0.907070707,0.135353535,0.244444444,0.226262626,0.898989899,0.242424242,4.115151515,4.076767677,0.010636193,0.016161616,0.071230072,0.078026292,16412.55758,19876.63434,7.727272727,9.928065902,34837.5697,4823.745455,84077.88889,2.171717172,0.131313131,0.111111111,8.804040404,14.55151515,10.63232323,0.065677402,0.466666667,5.383838384,5.034343434,4.890909091,11.41414141,11.17777778,12.07474747,1.101010101,0.055646451,0.171717172,0.224242424,0.993939394,0.248484848,4.414141414,4.446464646,0.010636193,0.022222222,0.274747475,0.292929293,15288.89899,18060.79798,250.3939394,49.64032951,34393.72727,4686.343434,76329.77778,2.191919192,0.393939394,0.393939394,205.9292929,71.06060606,214.5353535,0.32838701,0.606060606,10.8989899,10.6969697,10.80808081,11.96969697,10.1010101,12.48484848,2.168499474,0.278232254,0.089658949,0.292929293,1.04040404,0.112595629,4.101010101,4.232323232,0.053180963,0.039323993,1.191919192,1.363636364
18,GR,8/2/2021,18285.63636,20506.02626,0.906263092,9.928065902,34284.36768,4821.246465,84340.7697,2.345454545,1.826262626,1.727272727,14.50505051,13.21414141,16.71919192,0.065677402,0.43030303,2.557575758,2.476767677,1.567676768,11.01616162,11.2989899,11.57171717,0.894949495,0.117171717,0.193939394,0.18989899,0.818181818,0.157575758,3.915151515,3.967676768,0.010636193,0.007864799,0.212121212,0.222222222,15237.35152,19460.12525,8.036363636,9.928065902,33221.43838,4539.59798,79998.31717,2.161616162,0.161616162,0.129292929,9.543434343,16.23838384,10.15353535,0.065677402,0.464646465,5.543434343,5.650505051,3.046464646,11.44646465,9.537373737,11.92323232,0.931313131,0.256565657,0.236363636,0.212121212,0.923232323,0.185858586,4.127272727,4.151515152,0.010636193,0.007864799,0.795959596,0.909090909,14157.60606,18194.36364,373.9191919,49.64032951,35137.0303,3992.171717,74503.44444,2.656565657,0.515151515,0.555555556,323.2828283,118.4040404,321.010101,0.32838701,0.626262626,13.63636364,14.15151515,20.96969697,13.05050505,9.525252525,12.87878788,2.168499474,0.278232254,0.191919192,0.282828283,0.481429161,0.424242424,3.98989899,3.98989899,0.121212121,0.090909091,1.919191919,2.01010101
19,WS,8/16/2021,21355.69899,12531.32323,3.276767677,49.95353535,54393.91313,4622.864646,82385.31717,1.01010101,0.165656566,0.163636364,1.218874063,29.38383838,1.364188275,0.065677402,0.737373737,0.9903174,1.017578002,1.626262626,12.88484848,11.59191919,13.56161616,1.183838384,0.055646451,0.123232323,0.139393939,0.84040404,0.137373737,40.1030303,40.88080808,0.010636193,0.016161616,0.071230072,0.078026292,18896.00404,12761.55758,32.65252525,29.68080808,52069.60606,4502.282828,79847.53737,0.892929293,0.139393939,0.131313131,11.4,34.23030303,11.43030303,0.065677402,0.731313131,2.036363636,2.22020202,2.094949495,13.51515152,11.9030303,14.88484848,1.256565657,0.055646451,0.139393939,0.155555556,0.907070707,0.163636364,43.09494949,45.14141414,0.010636193,0.007864799,0.071230072,0.078026292,17830.08081,11666.59596,36.26262626,49.64032951,60416.19192,4027.10101,79294.0202,0.565432465,0.131217012,0.11823354,58.07070707,49.27272727,49.63636364,0.32838701,0.797979798,4.951587001,5.087890009,0.898989899,14.08080808,11.8989899,14.49494949,2.168499474,0.278232254,0.222222222,0.054204449,1.02020202,0.112595629,46.77777778,42.53535354,0.053180963,0.039323993,0.356150362,0.390131458
20,GC,8/16/2021,22382.02828,13424.42424,0.906263092,26.51515152,37162.94141,4109.911111,75134.91919,1.739393939,0.123232323,0.111111111,1.218874063,25.75757576,1.364188275,0.065677402,1.517171717,3.294949495,3.391919192,4.331313131,11.60808081,10.16969697,12.18585859,1.317171717,0.181818182,0.163636364,0.218181818,1.101010101,0.153535354,19.98181818,20.25252525,0.03030303,0.028282828,0.208080808,0.226262626,20296.40808,14061.29495,10.88484848,22.84848485,41002.85051,4453.70101,77669.14141,1.666666667,0.16969697,0.151515152,16.04848485,28.57373737,16.08484848,0.065677402,1.96969697,6.985858586,7.056565657,10.93333333,13.25858586,10.62020202,13.22424242,1.565656566,0.161616162,0.22020202,0.197979798,1.301010101,0.145454545,22.28282828,22.43838384,0.032323232,0.036363636,14.92323232,15.08686869,20518.05051,14118.72727,99.42424242,49.64032951,44339.78788,4336.282828,81819.56566,1.898989899,0.292929293,0.252525253,113.010101,50.47474747,114.1919192,0.32838701,0.656565657,12.34343434,12.1010101,5.929292929,13.07070707,12.21212121,13.81818182,2.168499474,0.278232254,0.323232323,0.191919192,1.727272727,0.262626263,21.83838384,21.70707071,0.053180963,0.039323993,1.01010101,1.050505051
