"","Sample.Id","Element","conc","Concentration"
"86","6_21_21_UF_8","As_KED",5.19,10.4848484848485
"87","6_21_21_UF_8","As_Oshift",5.484,11.0787878787879
"88","6_21_21_UF_8","Se..77..77.77..ppb.",0.299,0.604040404040404
"89","6_21_21_UF_8","Se77_Oshift",0.0226125188303962,0.0456818562230227
"90","6_21_21_UF_8","Se78_Oshift",0.039,0.0787878787878788
"91","6_21_21_UF_8","Se80_Oshift",0.064,0.129292929292929
"92","6_21_21_UF_8","Se..82..82.82..ppb.",0.283,0.571717171717172
"93","6_21_21_UF_8","Se82_Oshift",0.083,0.167676767676768
"94","6_21_21_UF_8","Mo_NH3",5.557,11.2262626262626
"95","6_21_21_UF_8","Mo_Oshift",5.367,10.8424242424242
"96","6_21_21_UF_8","Cd111",0.016,0.0323232323232323
"97","6_21_21_UF_8","Cd114",0.014,0.0282828282828283
"98","6_21_21_UF_8","Pb_STD",0.078,0.157575757575758
"99","6_21_21_UF_8","Pb_NH3",0.08,0.161616161616162
"100","6_21_21_UF_9","Na",6772.947,13682.7212121212
"101","6_21_21_UF_9","Mg",5446.088,11002.197979798
"102","6_21_21_UF_9","Al",1.413,2.85454545454545
"103","6_21_21_UF_9","P",22.361,45.1737373737374
"104","6_21_21_UF_9","S",8059.887,16282.6
"105","6_21_21_UF_9","K",1339.79,2706.64646464646
"106","6_21_21_UF_9","Ca",23691.142,47860.8929292929
"107","6_21_21_UF_9","V",0.744,1.5030303030303
"108","6_21_21_UF_9","Cr_KED",0.041,0.0828282828282828
"109","6_21_21_UF_9","Cr_NH3",0.038,0.0767676767676768
"110","6_21_21_UF_9","Fe_NH3",0.325465307161978,0.657505671034299
"111","6_21_21_UF_9","Mn",9.383,18.9555555555556
"112","6_21_21_UF_9","Fe_KED",0.352047383460437,0.71120683527361
"113","6_21_21_UF_9","Co",0.016,0.0323232323232323
"114","6_21_21_UF_9","Ni",0.188,0.37979797979798
"115","6_21_21_UF_9","Cu_KED",2.282,4.61010101010101
"116","6_21_21_UF_9","Cu_NH3",2.301,4.64848484848485
"117","6_21_21_UF_9","Zn",0.85,1.71717171717172
"118","6_21_21_UF_9","As_STD",4.006,8.09292929292929
"119","6_21_21_UF_9","As_KED",3.783,7.64242424242424
"120","6_21_21_UF_9","As_Oshift",3.956,7.99191919191919
"121","6_21_21_UF_9","Se..77..77.77..ppb.",0.282,0.56969696969697
"122","6_21_21_UF_9","Se77_Oshift",0.053,0.107070707070707
"123","6_21_21_UF_9","Se78_Oshift",0.063,0.127272727272727
